task_id,resource_id,request_quantity
18_10,778,1.00
18_11,779,1.50
18_13,778,2.00
18_14,781,1.00
18_15,782,2.50
18_16,778,2.00
18_17,779,1.00
18_19,778,2.00
18_20,778,2.00
18_21,778,2.00
18_22,778,2.00
18_23,778,2.00
18_25,780,1.00
18_27,782,2.50
18_28,782,2.50
18_29,782,2.50
18_3,782,2.50
18_30,780,2.00
18_31,781,1.00
18_32,779,1.50
18_34,782,2.50
18_36,782,2.50
18_37,778,2.00
18_39,781,2.00
18_4,782,2.50
18_41,778,2.00
18_42,779,2.00
18_43,780,1.00
18_44,781,1.50
18_45,782,2.00
18_46,782,2.50
18_48,779,1.50
18_5,780,2.00
18_6,781,1.00
18_7,782,1.50
18_8,778,2.00
18_9,779,1.00
