task_id,resource_id,request_quantity
16_1,173,2.00
16_1,174,1.00
16_1,189,10000.00
16_2,173,4.00
16_2,174,3.00
16_2,176,1.00
16_3,173,3.00
16_3,175,1.00
16_3,176,1.00
16_3,174,1.00
16_4,173,2.00
16_4,174,1.00
16_4,182,1.00
16_5,173,3.00
16_5,174,1.00
16_6,173,2.00
16_6,174,1.00
16_6,189,30000.00
16_7,173,7.00
16_7,174,5.00
16_7,176,2.00
16_7,177,1.00
16_7,181,1.00
16_7,189,50000.00
16_8,173,4.00
16_8,174,2.00
16_8,179,1.00
16_8,183,1.00
16_9,173,3.00
16_9,174,1.00
16_9,175,1.00
16_9,176,1.00
16_14,173,3.00
16_14,174,1.00
16_14,182,1.00
16_14,189,3000.00
16_11,173,4.00
16_11,174,1.00
16_11,181,1.00
16_11,182,1.00
16_11,189,3000.00
16_19,173,10.00
16_19,174,6.00
16_19,176,2.00
16_19,177,1.00
16_19,181,1.00
16_19,189,55000.00
16_20,173,4.00
16_20,174,1.00
16_20,182,1.00
16_20,189,23000.00
16_17,173,9.00
16_17,179,2.00
16_17,174,6.00
16_17,177,1.00
16_22,173,4.00
16_22,174,1.00
16_22,182,1.00
16_22,179,1.00
16_22,189,1500.00
16_24,173,4.00
16_24,174,3.00
16_24,179,1.00
16_24,189,0.00
16_25,173,6.00
16_25,174,1.00
16_25,180,1.00
16_25,182,1.00
16_25,176,1.00
16_25,181,1.00
16_25,189,190000.00
16_27,173,4.00
16_27,174,1.00
16_27,181,1.00
16_27,182,1.00
16_27,189,100000.00
16_29,173,4.00
16_29,174,1.00
16_29,181,1.00
16_29,182,1.00
16_29,189,11000.00
16_31,173,4.00
16_31,174,1.00
16_31,181,1.00
16_31,182,1.00
16_31,189,81000.00
16_33,173,4.00
16_33,174,1.00
16_33,182,1.00
16_33,189,52000.00
16_34,173,5.00
16_34,174,1.00
16_34,181,1.00
16_34,182,1.00
16_34,189,23500.00
16_36,173,5.00
16_36,174,3.00
16_36,176,1.00
16_36,177,1.00
16_36,189,18000.00
16_41,173,3.00
16_41,174,2.00
16_41,184,1.00
16_42,173,3.00
16_42,174,1.00
16_42,176,1.00
16_42,175,1.00
16_38,173,10.00
16_38,174,6.00
16_38,176,2.00
16_38,177,1.00
16_38,181,1.00
16_38,189,68600.00
16_39,173,4.00
16_39,174,1.00
16_39,182,1.00
16_39,189,12600.00
16_63,173,2.00
16_63,174,1.00
16_63,182,1.00
16_63,189,6000.00
16_62,173,4.00
16_62,174,2.00
16_62,179,1.00
16_62,182,1.00
16_62,189,15000.00
16_66,173,5.00
16_66,182,1.00
16_66,174,1.00
16_66,181,1.00
16_66,189,88000.00
16_68,173,4.00
16_68,174,1.00
16_68,182,1.00
16_68,189,50000.00
16_69,173,5.00
16_69,174,1.00
16_69,182,1.00
16_69,189,8000.00
16_82,173,3.00
16_82,174,2.00
16_82,184,1.00
16_83,173,4.00
16_83,174,2.00
16_83,175,1.00
16_83,176,1.00
16_75,173,10.00
16_75,174,6.00
16_75,176,2.00
16_75,177,1.00
16_75,187,1.00
16_75,189,140000.00
16_73,173,3.00
16_73,179,1.00
16_73,177,1.00
16_73,187,1.00
16_73,189,1800.00
16_72,173,10.00
16_72,174,6.00
16_72,176,2.00
16_72,177,1.00
16_72,187,1.00
16_80,173,3.00
16_80,182,1.00
16_80,174,1.00
16_80,189,7000.00
16_78,173,4.00
16_78,174,2.00
16_78,179,1.00
16_78,182,1.00
16_78,189,20000.00
16_77,173,3.00
16_77,174,1.00
16_77,179,1.00
16_77,182,1.00
16_77,189,3600.00
16_48,173,3.00
16_48,174,2.00
16_48,184,1.00
16_49,173,3.00
16_49,174,1.00
16_49,176,1.00
16_49,175,1.00
16_46,173,10.00
16_46,174,6.00
16_46,176,2.00
16_46,177,1.00
16_46,187,1.00
16_46,189,32000.00
16_44,173,4.00
16_44,174,2.00
16_44,179,1.00
16_44,182,1.00
16_44,189,10000.00
16_58,173,3.00
16_58,174,2.00
16_58,184,1.00
16_59,173,4.00
16_59,175,1.00
16_59,174,2.00
16_59,176,1.00
16_52,173,3.00
16_52,179,1.00
16_52,177,1.00
16_52,187,1.00
16_52,189,15000.00
16_51,173,8.00
16_51,174,6.00
16_51,179,2.00
16_55,173,3.00
16_55,179,1.00
16_55,174,1.00
16_55,182,1.00
16_55,189,26000.00
16_56,173,4.00
16_56,174,2.00
16_56,179,1.00
16_56,182,1.00
16_56,189,10000.00
16_85,173,7.00
16_85,174,5.00
16_85,183,1.00
16_85,178,1.00
16_85,190,2500000.00
16_86,173,4.00
16_86,174,1.00
16_86,185,1.00
16_86,189,300000.00
16_87,173,5.00
16_87,174,2.00
16_87,176,2.00
16_87,186,1.00
16_87,189,15000.00
16_88,173,3.00
16_88,174,1.00
16_88,189,16500.00
16_89,173,2.00
16_89,174,1.00
16_89,188,1.00
16_89,189,80000.00
16_91,173,2.00
16_91,174,1.00
16_92,173,2.00
16_92,174,1.00
16_92,182,1.00
16_93,173,2.00
16_93,174,1.00
16_93,176,1.00
16_94,173,2.00
16_94,174,1.00
