id,project_id,task_name,task_type,status,baseline_start,type,base_cost,total_cost,risk_factor,duration_months,duration_weeks,duration_days,duration_hours,calendar_type,internal_labor_cost,overtime_cost,equipment_fuel_cost,qa_qc_cost,material_cost,outsourcing_cost,training_cost,facility_rent,communication_cost,utilities_cost,insurance_cost,licensing_cost,warranty_cost,complexity,weather_contingency,general_contingency,rework_risk,holding_cost,international_freight,handling_cost,reverse_logistics,defect_cost,overtime_hours,lag_time,metadata_json
16_14,16,Manhole covers,,Pending,2012-05-04 07:00:00,,4575.00,5718.75,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,1575.00,0.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_49,16,Topsoil removal and clearing subbase,,Pending,2012-11-20 07:00:00,,5535.00,6918.75,1.2500,0.00,0.00,3.00,0.00,,0.00,0.00,5535.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_12,16,Culverts concrete aging,,Pending,2012-05-07 07:00:00,,0.00,0.00,1.2500,0.00,0.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_17,16,Digging,,Pending,2012-05-30 07:00:00,,49392.00,61740.00,1.2500,0.00,0.00,8.00,0.00,,0.00,0.00,49392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_19,16,Road embankments,,Pending,2012-05-07 07:00:00,,162865.00,203581.25,1.2500,0.00,0.00,17.00,0.00,,0.00,0.00,107865.00,0.00,55000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_2,16,Clearing site,,Pending,2012-04-13 07:00:00,,4860.00,6075.00,1.2500,0.00,0.00,2.00,0.00,,0.00,0.00,4860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_20,16,Sound barriers,,Pending,2012-05-30 07:00:00,,26150.00,32687.50,1.2500,0.00,0.00,2.00,0.00,,0.00,0.00,3150.00,0.00,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_22,16,Longitudinal drains (ditches),,Pending,2012-06-11 07:00:00,,13785.00,17231.25,1.2500,0.00,0.00,5.00,0.00,,0.00,0.00,12285.00,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_24,16,Plinths excavation,,Pending,2012-06-18 07:00:00,,2772.00,3465.00,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,2772.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_25,16,Pouring piles frameworks and drilling,,Pending,2012-06-19 07:00:00,,204580.00,255725.00,1.2500,0.00,0.00,4.00,0.00,,0.00,0.00,14580.00,0.00,190000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_26,16,Piles concrete aging,,Pending,2012-06-25 07:00:00,,0.00,0.00,1.2500,0.00,0.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_27,16,Making of plinths (pouring frameworks and concrete casting),,Pending,2012-07-09 07:00:00,,104860.00,131075.00,1.2500,0.00,0.00,2.00,0.00,,0.00,0.00,4860.00,0.00,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_28,16,Plinths concrete aging,,Pending,2012-07-11 07:00:00,,0.00,0.00,1.2500,0.00,0.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_29,16,Making of pylons (pouring frameworks and concrete casting),,Pending,2012-07-25 07:00:00,,13430.00,16787.50,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,2430.00,0.00,11000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_3,16,Levelling ground,,Pending,2012-04-17 07:00:00,,1845.00,2306.25,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,1845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_30,16,Pylons concrete aging,,Pending,2012-07-26 07:00:00,,0.00,0.00,1.2500,0.00,0.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_31,16,Making of shoulders (pouring frameworks and concrete casting),,Pending,2012-08-09 07:00:00,,83430.00,104287.50,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,2430.00,0.00,81000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_32,16,Shoulders concrete aging,,Pending,2012-08-10 07:00:00,,0.00,0.00,1.2500,0.00,0.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_33,16,Pouring prefabricated beam,,Pending,2012-08-24 07:00:00,,53575.00,66968.75,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,1575.00,0.00,52000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_34,16,Making of slab (pouring frameworks and concrete casting),,Pending,2012-08-27 07:00:00,,25930.00,32412.50,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,2430.00,0.00,23500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_35,16,Slab's concrete aging,,Pending,2012-08-28 07:00:00,,0.00,0.00,1.2500,0.00,0.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_36,16,Making of embankments,,Pending,2012-09-11 07:00:00,,54720.00,68400.00,1.2500,0.00,0.00,12.00,0.00,,0.00,0.00,36720.00,0.00,18000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_38,16,Embankments,,Pending,2012-06-26 07:00:00,,189155.00,236443.75,1.2500,0.00,0.00,19.00,0.00,,0.00,0.00,120555.00,0.00,68600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_39,16,Sound barriers,,Pending,2012-07-23 07:00:00,,15750.00,19687.50,1.2500,0.00,0.00,2.00,0.00,,0.00,0.00,3150.00,0.00,12600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_4,16,Containers placement,,Pending,2012-04-18 07:00:00,,1575.00,1968.75,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,1575.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_41,16,Demolitions,,Pending,2012-06-18 07:00:00,,3330.00,4162.50,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,3330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_42,16,Topsoil removal and clearing subbase,,Pending,2012-06-19 07:00:00,,9225.00,11531.25,1.2500,0.00,0.00,5.00,0.00,,0.00,0.00,9225.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_46,16,Embankments,,Pending,2012-11-23 07:00:00,,93920.00,117400.00,1.2500,0.00,0.00,10.00,0.00,,0.00,0.00,61920.00,0.00,32000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_48,16,Demolitions,,Pending,2012-11-19 07:00:00,,3330.00,4162.50,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,3330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_5,16,Connection to network service,,Pending,2012-04-19 07:00:00,,1260.00,1575.00,1.2500,0.00,0.00,2.00,0.00,,0.00,0.00,1260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_51,16,Carrying remaining soil,,Pending,2013-01-01 07:00:00,,44352.00,55440.00,1.2500,0.00,0.00,8.00,0.00,,0.00,0.00,44352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_52,16,Terracing,,Pending,2012-12-24 07:00:00,,28284.00,35355.00,1.2500,0.00,0.00,6.00,0.00,,0.00,0.00,13284.00,0.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_55,16,Draining trenches,,Pending,2013-01-11 07:00:00,,38285.00,47856.25,1.2500,0.00,0.00,5.00,0.00,,0.00,0.00,12285.00,0.00,26000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_56,16,Catch water drains,,Pending,2013-01-18 07:00:00,,34696.00,43370.00,1.2500,0.00,0.00,8.00,0.00,,0.00,0.00,24696.00,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_58,16,Demolitions,,Pending,2012-12-10 07:00:00,,3330.00,4162.50,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,3330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_59,16,Topsoil removal and clearing subbase,,Pending,2012-12-11 07:00:00,,22275.00,27843.75,1.2500,0.00,0.00,9.00,0.00,,0.00,0.00,22275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_6,16,Pegging road,,Pending,2012-04-23 07:00:00,,30630.00,38287.50,1.2500,0.00,0.00,1.00,0.00,,0.00,0.00,630.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
16_62,16,Catch water drains,,Pending,2012-07-25 07:00:00,,24261.00,30326.25,1.2500,0.00,0.00,3.00,0.00,,0.00,0.00,9261.00,0.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0500,0.1500,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
