source_id,target_id,dependency_type,lag_months,lag_weeks,lag_days,lag_hours
1,2,FS,0,0,0,0
2,3,FS,0,0,0,0
551,11,SS,0,3,4,0
6,7,FS,0,0,0,0
3,526,FS,0,0,0,0
7,526,FS,0,0,0,0
11,526,SS,0,0,3,0
3,527,FS,0,0,0,0
7,527,FS,0,0,0,0
11,527,SS,0,0,3,0
3,528,FS,0,0,0,0
7,528,FS,0,0,0,0
11,528,SS,0,0,3,0
3,529,FS,0,0,0,0
7,529,FS,0,0,0,0
11,529,SS,0,0,3,0
3,530,FS,0,0,0,0
7,530,FS,0,0,0,0
11,530,SS,0,0,3,0
3,531,FS,0,0,0,0
7,531,FS,0,0,0,0
11,531,SS,0,0,3,0
3,532,FS,0,0,0,0
7,532,FS,0,0,0,0
11,532,SS,0,0,3,0
3,533,FS,0,0,0,0
7,533,FS,0,0,0,0
11,533,SS,0,0,3,0
3,534,FS,0,0,0,0
7,534,FS,0,0,0,0
11,534,SS,0,0,3,0
3,535,FS,0,0,0,0
7,535,FS,0,0,0,0
11,535,SS,0,0,3,0
3,536,FS,0,0,0,0
7,536,FS,0,0,0,0
11,536,SS,0,0,3,0
3,537,FS,0,0,0,0
7,537,FS,0,0,0,0
11,537,SS,0,0,3,0
3,538,FS,0,0,0,0
7,538,FS,0,0,0,0
11,538,SS,0,0,3,0
3,539,FS,0,0,0,0
7,539,FS,0,0,0,0
11,539,SS,0,0,3,0
3,540,FS,0,0,0,0
7,540,FS,0,0,0,0
11,540,SS,0,0,3,0
3,541,FS,0,0,0,0
7,541,FS,0,0,0,0
11,541,SS,0,0,3,0
3,542,FS,0,0,0,0
7,542,FS,0,0,0,0
11,542,SS,0,0,3,0
3,543,FS,0,0,0,0
7,543,FS,0,0,0,0
11,543,SS,0,0,3,0
3,544,FS,0,0,0,0
7,544,FS,0,0,0,0
11,544,SS,0,0,3,0
3,545,FS,0,0,0,0
7,545,FS,0,0,0,0
11,545,SS,0,0,3,0
3,546,FS,0,0,0,0
7,546,FS,0,0,0,0
11,546,SS,0,0,3,0
3,547,FS,0,0,0,0
7,547,FS,0,0,0,0
11,547,SS,0,0,3,0
3,548,FS,0,0,0,0
7,548,FS,0,0,0,0
11,548,SS,0,0,3,0
3,549,FS,0,0,0,0
7,549,FS,0,0,0,0
11,549,SS,0,0,3,0
3,550,FS,0,0,0,0
7,550,FS,0,0,0,0
11,550,SS,0,0,3,0
526,12,FS,0,0,0,0
527,13,FS,0,0,0,0
528,14,FS,0,0,0,0
529,196,FS,0,0,0,0
530,197,FS,0,0,0,0
531,198,FS,0,0,0,0
532,199,FS,0,0,0,0
533,200,FS,0,0,0,0
534,201,FS,0,0,0,0
535,202,FS,0,0,0,0
536,203,FS,0,0,0,0
537,204,FS,0,0,0,0
538,205,FS,0,0,0,0
539,206,FS,0,0,0,0
540,207,FS,0,0,0,0
541,208,FS,0,0,0,0
542,209,FS,0,0,0,0
543,210,FS,0,0,0,0
544,211,FS,0,0,0,0
545,212,FS,0,0,0,0
546,213,FS,0,0,0,0
547,214,FS,0,0,0,0
548,215,FS,0,0,0,0
549,216,FS,0,0,0,0
550,217,FS,0,0,0,0
12,16,FS,0,0,0,0
16,17,FS,0,0,0,0
13,162,FS,0,0,0,0
14,218,FS,0,0,0,0
196,219,FS,0,0,0,0
197,220,FS,0,0,0,0
198,221,FS,0,0,0,0
199,222,FS,0,0,0,0
200,223,FS,0,0,0,0
201,224,FS,0,0,0,0
202,225,FS,0,0,0,0
203,226,FS,0,0,0,0
204,227,FS,0,0,0,0
205,228,FS,0,0,0,0
206,229,FS,0,0,0,0
207,230,FS,0,0,0,0
208,231,FS,0,0,0,0
209,232,FS,0,0,0,0
210,233,FS,0,0,0,0
211,234,FS,0,0,0,0
212,235,FS,0,0,0,0
213,236,FS,0,0,0,0
214,237,FS,0,0,0,0
215,238,FS,0,0,0,0
216,239,FS,0,0,0,0
217,240,FS,0,0,0,0
162,241,FS,0,0,0,0
218,242,FS,0,0,0,0
219,243,FS,0,0,0,0
220,244,FS,0,0,0,0
221,245,FS,0,0,0,0
222,246,FS,0,0,0,0
223,247,FS,0,0,0,0
224,248,FS,0,0,0,0
225,249,FS,0,0,0,0
226,250,FS,0,0,0,0
227,251,FS,0,0,0,0
228,252,FS,0,0,0,0
229,253,FS,0,0,0,0
230,254,FS,0,0,0,0
231,255,FS,0,0,0,0
232,256,FS,0,0,0,0
233,257,FS,0,0,0,0
234,258,FS,0,0,0,0
235,259,FS,0,0,0,0
236,260,FS,0,0,0,0
237,261,FS,0,0,0,0
238,262,FS,0,0,0,0
239,263,FS,0,0,0,0
240,264,FS,0,0,0,0
21,25,SS,0,5,5,0
23,25,SS,0,5,5,0
25,337,FS,0,0,0,0
337,338,FS,0,0,0,0
338,339,FS,0,0,0,0
339,340,FS,0,0,0,0
340,341,FS,0,0,0,0
341,342,FS,0,0,0,0
342,343,FS,0,0,0,0
343,344,FS,0,0,0,0
344,345,FS,0,0,0,0
345,346,FS,0,0,0,0
346,347,FS,0,0,0,0
347,348,FS,0,0,0,0
348,349,FS,0,0,0,0
349,350,FS,0,0,0,0
350,351,FS,0,0,0,0
351,352,FS,0,0,0,0
352,353,FS,0,0,0,0
353,354,FS,0,0,0,0
354,355,FS,0,0,0,0
355,356,FS,0,0,0,0
356,357,FS,0,0,0,0
357,358,FS,0,0,0,0
358,359,FS,0,0,0,0
25,29,FS,0,0,0,0
27,29,SS,0,5,5,0
337,360,FS,0,0,0,0
27,360,SS,0,5,5,0
338,361,FS,0,0,0,0
27,361,SS,0,5,5,0
339,362,FS,0,0,0,0
27,362,SS,0,5,5,0
340,363,FS,0,0,0,0
27,363,SS,0,5,5,0
341,364,FS,0,0,0,0
27,364,SS,0,5,5,0
342,365,FS,0,0,0,0
27,365,SS,0,5,5,0
343,366,FS,0,0,0,0
27,366,SS,0,5,5,0
344,367,FS,0,0,0,0
27,367,SS,0,5,5,0
345,368,FS,0,0,0,0
27,368,SS,0,5,5,0
346,369,FS,0,0,0,0
27,369,SS,0,5,5,0
347,370,FS,0,0,0,0
27,370,SS,0,5,5,0
348,371,FS,0,0,0,0
27,371,SS,0,5,5,0
349,372,FS,0,0,0,0
27,372,SS,0,5,5,0
350,373,FS,0,0,0,0
27,373,SS,0,5,5,0
351,374,FS,0,0,0,0
27,374,SS,0,5,5,0
352,375,FS,0,0,0,0
27,375,SS,0,5,5,0
353,376,FS,0,0,0,0
27,376,SS,0,5,5,0
354,377,FS,0,0,0,0
27,377,SS,0,5,5,0
355,378,FS,0,0,0,0
27,378,SS,0,5,5,0
356,379,FS,0,0,0,0
27,379,SS,0,5,5,0
357,380,FS,0,0,0,0
27,380,SS,0,5,5,0
358,381,FS,0,0,0,0
27,381,SS,0,5,5,0
359,382,FS,0,0,0,0
27,382,SS,0,5,5,0
29,31,FS,0,0,0,0
360,383,FS,0,0,0,0
361,384,FS,0,0,0,0
362,385,FS,0,0,0,0
363,386,FS,0,0,0,0
364,387,FS,0,0,0,0
365,388,FS,0,0,0,0
366,389,FS,0,0,0,0
367,390,FS,0,0,0,0
368,391,FS,0,0,0,0
369,392,FS,0,0,0,0
370,393,FS,0,0,0,0
371,394,FS,0,0,0,0
372,395,FS,0,0,0,0
373,396,FS,0,0,0,0
374,397,FS,0,0,0,0
375,398,FS,0,0,0,0
376,399,FS,0,0,0,0
377,400,FS,0,0,0,0
378,401,FS,0,0,0,0
379,402,FS,0,0,0,0
380,403,FS,0,0,0,0
381,404,FS,0,0,0,0
382,405,FS,0,0,0,0
31,313,FS,0,0,0,0
383,314,FS,0,0,0,0
384,315,FS,0,0,0,0
385,316,FS,0,0,0,0
386,317,FS,0,0,0,0
387,318,FS,0,0,0,0
388,319,FS,0,0,0,0
389,320,FS,0,0,0,0
390,321,FS,0,0,0,0
391,322,FS,0,0,0,0
392,323,FS,0,0,0,0
393,324,FS,0,0,0,0
394,325,FS,0,0,0,0
395,326,FS,0,0,0,0
396,327,FS,0,0,0,0
397,328,FS,0,0,0,0
398,329,FS,0,0,0,0
399,330,FS,0,0,0,0
400,331,FS,0,0,0,0
401,332,FS,0,0,0,0
402,333,FS,0,0,0,0
