task_id,role,quantity,hourly_rate,type
3,Laborer,5.0,40.0,Renewable
3,Skipper,1.0,60.0,Renewable
3,Engineer,3.0,160.0,Renewable
3,Vessel Buzzard,1.0,3200.0,Renewable
6,Laborer,5.0,40.0,Renewable
6,Skipper,1.0,60.0,Renewable
6,Vessel Pompei,1.0,3320.0,Renewable
7,Laborer,22.0,40.0,Renewable
7,Skipper,1.0,60.0,Renewable
7,Engineer,6.0,160.0,Renewable
7,Vessel Pompei,1.0,3320.0,Renewable
526,Laborer,5.0,40.0,Renewable
526,Skipper,0.5,60.0,Renewable
526,Vessel Maersk,0.5,800.0,Renewable
526,Crane,1.0,200.0,Renewable
527,Laborer,5.0,40.0,Renewable
527,Skipper,0.5,60.0,Renewable
527,Vessel Maersk,0.5,800.0,Renewable
527,Crane,1.0,200.0,Renewable
528,Laborer,5.0,40.0,Renewable
528,Skipper,0.5,60.0,Renewable
528,Vessel Maersk,0.5,800.0,Renewable
528,Crane,1.0,200.0,Renewable
529,Laborer,5.0,40.0,Renewable
529,Skipper,0.5,60.0,Renewable
529,Vessel Maersk,0.5,800.0,Renewable
529,Crane,1.0,200.0,Renewable
530,Laborer,5.0,40.0,Renewable
530,Skipper,0.5,60.0,Renewable
530,Vessel Maersk,0.5,800.0,Renewable
530,Crane,1.0,200.0,Renewable
531,Laborer,5.0,40.0,Renewable
531,Skipper,0.5,60.0,Renewable
531,Vessel Maersk,0.5,800.0,Renewable
531,Crane,1.0,200.0,Renewable
532,Laborer,5.0,40.0,Renewable
532,Skipper,0.5,60.0,Renewable
532,Vessel Maersk,0.5,800.0,Renewable
532,Crane,1.0,200.0,Renewable
533,Laborer,5.0,40.0,Renewable
533,Skipper,0.5,60.0,Renewable
533,Vessel Maersk,0.5,800.0,Renewable
533,Crane,1.0,200.0,Renewable
534,Laborer,5.0,40.0,Renewable
534,Skipper,0.5,60.0,Renewable
534,Vessel Maersk,0.5,800.0,Renewable
534,Crane,1.0,200.0,Renewable
535,Laborer,5.0,40.0,Renewable
535,Skipper,0.5,60.0,Renewable
535,Vessel Maersk,0.5,800.0,Renewable
535,Crane,1.0,200.0,Renewable
536,Laborer,5.0,40.0,Renewable
536,Skipper,0.5,60.0,Renewable
536,Vessel Maersk,0.5,800.0,Renewable
536,Crane,1.0,200.0,Renewable
537,Laborer,5.0,40.0,Renewable
537,Skipper,0.5,60.0,Renewable
537,Vessel Maersk,0.5,800.0,Renewable
537,Crane,1.0,200.0,Renewable
538,Laborer,5.0,40.0,Renewable
538,Skipper,0.5,60.0,Renewable
538,Vessel Maersk,0.5,800.0,Renewable
538,Crane,1.0,200.0,Renewable
539,Laborer,5.0,40.0,Renewable
539,Skipper,0.5,60.0,Renewable
539,Vessel Maersk,0.5,800.0,Renewable
539,Crane,1.0,200.0,Renewable
540,Laborer,5.0,40.0,Renewable
540,Skipper,0.5,60.0,Renewable
540,Vessel Maersk,0.5,800.0,Renewable
540,Crane,1.0,200.0,Renewable
541,Laborer,5.0,40.0,Renewable
541,Skipper,0.5,60.0,Renewable
541,Vessel Maersk,0.5,800.0,Renewable
541,Crane,1.0,200.0,Renewable
542,Laborer,5.0,40.0,Renewable
542,Skipper,0.5,60.0,Renewable
542,Vessel Maersk,0.5,800.0,Renewable
542,Crane,1.0,200.0,Renewable
543,Laborer,5.0,40.0,Renewable
543,Skipper,0.5,60.0,Renewable
543,Vessel Maersk,0.5,800.0,Renewable
543,Crane,1.0,200.0,Renewable
544,Laborer,5.0,40.0,Renewable
544,Skipper,0.5,60.0,Renewable
544,Vessel Maersk,0.5,800.0,Renewable
544,Crane,1.0,200.0,Renewable
545,Laborer,5.0,40.0,Renewable
545,Skipper,0.5,60.0,Renewable
545,Vessel Maersk,0.5,800.0,Renewable
545,Crane,1.0,200.0,Renewable
546,Laborer,5.0,40.0,Renewable
546,Skipper,0.5,60.0,Renewable
546,Vessel Maersk,0.5,800.0,Renewable
546,Crane,1.0,200.0,Renewable
547,Laborer,5.0,40.0,Renewable
547,Skipper,0.5,60.0,Renewable
547,Vessel Maersk,0.5,800.0,Renewable
547,Crane,1.0,200.0,Renewable
548,Laborer,5.0,40.0,Renewable
548,Skipper,0.5,60.0,Renewable
548,Vessel Maersk,0.5,800.0,Renewable
548,Crane,1.0,200.0,Renewable
549,Laborer,5.0,40.0,Renewable
549,Skipper,0.5,60.0,Renewable
549,Vessel Maersk,0.5,800.0,Renewable
549,Crane,1.0,200.0,Renewable
550,Laborer,5.0,40.0,Renewable
550,Skipper,0.5,60.0,Renewable
550,Vessel Maersk,0.5,800.0,Renewable
550,Crane,1.0,200.0,Renewable
12,Laborer,22.0,40.0,Renewable
12,Skipper,1.0,60.0,Renewable
12,Engineer,6.0,160.0,Renewable
12,Vessel Buzzard,1.0,3200.0,Renewable
13,Laborer,22.0,40.0,Renewable
13,Skipper,1.0,60.0,Renewable
13,Engineer,6.0,160.0,Renewable
13,Vessel Buzzard,1.0,3200.0,Renewable
14,Laborer,22.0,40.0,Renewable
14,Skipper,1.0,60.0,Renewable
14,Engineer,6.0,160.0,Renewable
14,Vessel Buzzard,1.0,3200.0,Renewable
196,Laborer,22.0,40.0,Renewable
196,Skipper,1.0,60.0,Renewable
196,Engineer,6.0,160.0,Renewable
196,Vessel Buzzard,1.0,3200.0,Renewable
197,Laborer,22.0,40.0,Renewable
197,Skipper,1.0,60.0,Renewable
197,Engineer,6.0,160.0,Renewable
197,Vessel Buzzard,1.0,3200.0,Renewable
198,Laborer,22.0,40.0,Renewable
198,Skipper,1.0,60.0,Renewable
198,Engineer,6.0,160.0,Renewable
198,Vessel Buzzard,1.0,3200.0,Renewable
199,Laborer,22.0,40.0,Renewable
199,Skipper,1.0,60.0,Renewable
199,Engineer,6.0,160.0,Renewable
199,Vessel Buzzard,1.0,3200.0,Renewable
200,Laborer,22.0,40.0,Renewable
200,Skipper,1.0,60.0,Renewable
200,Engineer,6.0,160.0,Renewable
