task_id,resource_name,quantity,hourly_rate,ot_rate
3,Project Leader,1.0,30.0,45.0
4,Engineer,1.0,50.0,75.0
5,Engineer,1.0,50.0,75.0
6,Engineer,1.0,50.0,75.0
7,Engineer,1.0,50.0,75.0
8,Engineer,1.0,50.0,75.0
9,Engineer,1.0,50.0,75.0
10,Engineer,1.0,50.0,75.0
11,Project Leader,1.0,30.0,45.0
13,Project Leader,1.0,30.0,45.0
14,Project Leader,1.0,30.0,45.0
15,Project Leader,1.0,30.0,45.0
16,Project Leader,1.0,30.0,45.0
17,Project Leader,1.0,30.0,45.0
19,Project Leader,1.0,30.0,45.0
25,Project Leader,1.0,30.0,45.0
36,Worker,1.0,24.0,36.0
37,Engineer,1.0,50.0,75.0
39,Marketeer,1.0,28.0,42.0
41,Administrator,1.0,30.0,45.0
42,Administrator,1.0,30.0,45.0
43,Administrator,1.0,30.0,45.0
44,Administrator,1.0,30.0,45.0
45,Administrator,1.0,30.0,45.0
46,Administrator,1.0,30.0,45.0
