task_id,baseline_start,baseline_end,predecessors,successors
3,2019-01-01 08:00:00,,,FS4
4,2019-01-15 08:00:00,,3FS,FS5
5,2019-01-23 08:00:00,,4FS,FS6;FS7;FS8
6,2019-01-31 08:00:00,,5FS,FS9
7,2019-01-31 08:00:00,,5FS,FS9
8,2019-01-31 08:00:00,,5FS,FS9
9,2019-02-04 08:00:00,,6FS;8FS;7FS,FS10
10,2019-02-07 08:00:00,,9FS,FS11
11,2019-02-18 08:00:00,,10FS,FS13
13,2019-03-06 08:00:00,,11FS,FS14;FS15;FS19
14,2019-04-10 08:00:00,,13FS,FS16
15,2019-04-10 08:00:00,,13FS,FS25;FS34
16,2019-05-08 08:00:00,,14FS,FS17
17,2019-06-12 08:00:00,,16FS,FS27
19,2019-04-03 08:00:00,,13FS,FS20
20,2019-04-10 08:00:00,,19FS,FS21
21,2019-07-17 08:00:00,,20FS,FS22;FS23
22,2019-10-02 08:00:00,,21FS,FS41
23,2019-10-02 08:00:00,,21FS,FS41
25,2019-06-19 08:00:00,,15FS,
27,2019-06-26 08:00:00,,17FS,FS28;FS45
28,2019-07-12 08:00:00,,27FS,FS29;FS30;FS31;FS42
29,2019-07-30 08:00:00,,28FS,FS32;FS43
30,2019-07-30 08:00:00,,28FS,FS34;FS44
31,2019-07-30 08:00:00,,28FS,FS34;FS44
32,2019-08-15 08:00:00,,29FS,FS34
34,2019-08-23 08:00:00,,32FS;30FS;31FS;15FS,FS36;FS46
36,2019-09-02 08:00:00,,34FS,FS37
37,2019-09-09 08:00:00,,36FS,FS39
39,2019-10-07 08:00:00,,37FS,
41,2019-10-23 08:00:00,,23FS;22FS,FS48
42,2019-07-30 08:00:00,,28FS,FS48
43,2019-08-15 08:00:00,,29FS,FS48
44,2019-08-07 08:00:00,,30FS;31FS,FS48
45,2019-07-12 08:00:00,,27FS,FS48
46,2019-09-02 08:00:00,,34FS,FS48
48,2019-10-23 17:00:00,,41FS;42FS;43FS;44FS;45FS;46FS,
