source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
5,6,FS
6,7,FS
6,9,FS
9,10,FS
10,11,FS
7,13,FS
13,14,FS
14,15,FS
15,16,FS
16,17,FS
17,18,FS
18,19,FS
7,22,FS
22,23,FS
23,24,FS
24,25,FS
25,26,FS
26,27,FS
27,28,FS
9,30,FS
30,31,FS
31,32,FS
32,33,FS
33,34,FS
34,35,FS
35,37,FS
37,38,FS
38,39,FS
39,40,FS
40,42,FS
42,43,FS
43,45,FS
45,46,FS
46,47,FS
47,48,FS
48,50,FS
50,51,FS
48,53,FS
53,54,FS
54,55,FS
55,56,FS
51,58,FS
58,59,FS
59,60,FS
60,61,FS
61,62,FS
62,64,FS
64,65,FS
65,66,FS
66,67,FS
62,68,FS
68,69,FS
69,70,FS
70,71,FS
62,72,FS
72,73,FS
73,74,FS
74,75,FS
67,76,FS
76,77,FS
77,78,FS
67,79,FS
79,80,FS
80,81,FS
81,82,FS
82,83,FS
83,84,FS
84,85,FS
85,86,FS
86,87,FS
83,94,FS
94,95,FS
95,96,FS
96,97,FS
83,98,FS
98,99,FS
99,100,FS
100,101,FS
83,102,FS
102,103,FS
103,104,FS
104,105,FS
104,109,FS
109,110,FS
110,111,FS
111,112,FS
87,113,FS
113,114,FS
114,115,FS
115,116,FS
87,117,FS
117,118,FS
118,119,FS
119,120,FS
87,121,FS
121,122,FS
122,123,FS
123,124,FS
87,125,FS
87,126,FS
116,127,FS
127,128,FS
127,129,FS
128,130,FS
130,131,FS
131,132,FS
132,133,FS
133,139,FS
139,140,FS
140,141,FS
141,142,FS
142,143,FS
139,144,FS
144,145,FS
145,146,FS
146,147,FS
147,148,FS
143,149,FS
143,150,FS
149,151,FS
151,152,FS
152,153,FS
153,154,FS
149,155,FS
155,156,FS
156,157,FS
157,158,FS
158,159,FS
159,160,FS
160,174,FS
174,161,FS
161,162,FS
162,163,FS
163,164,FS
164,165,FS
165,166,FS
165,167,FS
165,168,FS
165,169,FS
166,177,FS
166,178,FS
166,179,FS
166,180,FS
166,181,FS
177,182,FS
177,183,FS
177,184,FS
182,185,FS
