source,target,type
2,3,FS
7,9,FS
7,10,FS
9,11,FS
7,12,FS
11,15,FS
15,16,FS
16,17,FS
17,18,FS
18,19,FS
18,20,FS
18,21,FS
21,22,FS
22,23,FS
23,24,FS
24,26,FS
26,27,FS
27,28,FS
28,29,FS
29,30,FS
30,31,FS
30,32,FS
30,33,FS
33,34,FS
34,35,FS
35,36,FS
36,38,FS
38,39,FS
39,40,FS
40,41,FS
41,42,FS
42,43,FS
42,44,FS
42,45,FS
45,46,FS
46,47,FS
47,48,FS
48,50,FS
50,51,FS
51,52,FS
52,53,FS
53,54,FS
54,55,FS
54,56,FS
54,57,FS
57,58,FS
58,59,FS
59,60,FS
60,62,FS
62,63,FS
63,64,FS
64,65,FS
65,66,FS
66,67,FS
66,68,FS
66,69,FS
67,70,FS
70,71,FS
71,72,FS
131,73,FS
73,74,FS
7,77,FS
77,79,FS
77,80,FS
79,81,FS
77,82,FS
81,85,FS
85,86,FS
86,87,FS
87,88,FS
88,89,FS
88,90,FS
88,91,FS
89,92,FS
92,93,FS
93,94,FS
94,96,FS
96,97,FS
97,98,FS
98,99,FS
99,100,FS
100,101,FS
100,102,FS
100,103,FS
101,104,FS
104,105,FS
105,106,FS
106,108,FS
108,109,FS
109,110,FS
110,111,FS
111,112,FS
112,113,FS
112,114,FS
112,115,FS
113,116,FS
116,117,FS
117,118,FS
118,120,FS
120,121,FS
121,122,FS
122,123,FS
123,124,FS
124,125,FS
124,126,FS
124,127,FS
125,128,FS
128,129,FS
129,130,FS
130,131,FS
131,132,FS
