source,target,type
3,4,FS
4,5,FS
4,6,FS
4,7,FS
4,8,FS
4,9,FS
6,10,FS
10,11,FS
2,13,FS
2,14,FS
14,15,FS
15,16,FS
16,17,FS
17,18,FS
3,20,FS
20,21,FS
6,22,FS
11,23,FS
23,24,FS
24,25,FS
20,27,FS
11,28,FS
11,29,FS
11,30,FS
11,31,FS
11,32,FS
30,33,FS
33,34,FS
34,35,FS
34,36,FS
36,37,FS
11,38,FS
38,39,FS
35,40,FS
40,41,FS
33,43,FS
33,44,FS
44,45,FS
11,46,FS
11,47,FS
46,48,FS
21,49,FS
49,50,FS
50,51,FS
51,52,FS
52,53,FS
11,54,FS
54,55,FS
11,56,FS
56,57,FS
57,58,FS
58,59,FS
30,60,FS
11,61,FS
61,62,FS
30,63,FS
63,64,FS
64,65,FS
53,66,FS
25,68,FS
68,69,FS
69,70,FS
70,71,FS
71,72,FS
71,73,FS
71,74,FS
74,75,FS
71,76,FS
76,77,FS
77,78,FS
77,79,FS
79,84,FS
78,82,FS
