task_id,role,quantity,hourly_rate
1,Project Coordinator,1.0,31.28
2,Headnurses,65.0,31.28
2,Stretcher-bearer/logisticians,24.0,22.31
3,Project Coordinator,1.0,31.28
4,Project Coordinator,1.0,31.28
4,ICT committee,5.0,27.62
4,Board of directors,7.0,62.1
5,Project Coordinator,1.0,31.28
6,Project Coordinator,1.0,31.28
6,ICT committee,1.0,27.62
7,Project Coordinator,1.0,31.28
8,Project Coordinator,1.0,31.28
9,Project Coordinator,1.0,31.28
10,Project Coordinator,1.0,31.28
10,Board of directors,7.0,62.1
10,ICT committee,1.0,27.62
11,Project Coordinator,1.0,31.28
12,Project Coordinator,1.0,31.28
13,Project Coordinator,1.0,31.28
13,Board of directors,7.0,62.1
13,ICT committee,5.0,27.62
14,Project Coordinator,1.0,31.28
15,Project Coordinator,1.0,31.28
16,Project Coordinator,1.0,31.28
17,Project Coordinator,1.0,31.28
17,Board of directors,7.0,62.1
18,Project Coordinator,1.0,31.28
19,Project Coordinator,1.0,31.28
19,Board of directors,1.0,62.1
20,Project Coordinator,1.0,31.28
20,ICT committee,5.0,27.62
21,Project Coordinator,1.0,31.28
22,Project Coordinator,1.0,31.28
23,Project Coordinator,1.0,31.28
23,Board of directors,7.0,62.1
24,Project Coordinator,1.0,31.28
24,ICT committee,5.0,27.62
25,Project Coordinator,1.0,31.28
26,Project Coordinator,1.0,31.28
26,Board of directors,1.0,62.1
27,Project Coordinator,1.0,31.28
27,Board of directors,7.0,62.1
27,ICT committee,5.0,27.62
28,Project Coordinator,1.0,31.28
28,Stretcher-bearer/logisticians,24.0,22.31
28,Headnurses,65.0,31.28
29,ICT committee,2.0,27.62
30,ICT committee,2.0,27.62
31,Project Coordinator,1.0,31.28
32,Project Coordinator,1.0,31.28
33,Project Coordinator,1.0,31.28
34,Project Coordinator,1.0,31.28
34,Stretcher-bearer/logisticians,24.0,22.31
35,Project Coordinator,1.0,31.28
35,ICT committee,1.0,27.62
36,Project Coordinator,1.0,31.28
37,Project Coordinator,1.0,31.28
38,Project Coordinator,1.0,31.28
38,Stretcher-bearer/logisticians,12.0,22.31
39,Project Coordinator,1.0,31.28
39,Stretcher-bearer/logisticians,12.0,22.31
40,Project Coordinator,1.0,31.28
40,Headnurses,17.0,31.28
41,Project Coordinator,1.0,31.28
41,Headnurses,16.0,31.28
42,Project Coordinator,1.0,31.28
42,Headnurses,16.0,31.28
43,Project Coordinator,1.0,31.28
43,Headnurses,16.0,31.28
44,Project Coordinator,1.0,31.28
45,ICT committee,5.0,27.62
47,Project Coordinator,1.0,31.28
47,Board of directors,7.0,62.1
48,Project Coordinator,1.0,31.28
48,Headnurses,65.0,31.28
49,Project Coordinator,1.0,31.28
