task_id,baseline_start,baseline_end,predecessors,successors
1,,,[],[]
2,,,[1],[]
3,,,[2],[]
4,,,[3],[]
5,,,[4],[]
6,,,[5],[]
7,,,[6],[]
8,,,[7],[]
9,,,[8],[]
10,,,[9],[]
11,,,[10],[]
12,,,[11],[]
13,,,[12],[]
14,,,[13],[]
15,,,[14],[]
16,,,[15],[]
17,,,[16],[]
18,,,[17],[]
19,,,[18],[]
20,,,[8],[]
21,,,[20],[]
22,,,[21],[]
23,,,[22],[]
24,,,[23],[]
25,,,[24],[]
26,,,[25],[]
27,,,"[26, 19]",[]
28,,,[27],[]
29,,,[28],[]
30,,,[28],[]
31,,,[28],[]
32,,,[31],[]
33,,,[46],[]
34,,,[28],[]
35,,,[34],[]
36,,,"[29, 31]",[]
37,,,"[36, 35]",[]
38,,,"[30, 32, 37]",[]
39,,,[38],[]
40,,,[39],[]
41,,,[40],[]
42,,,[41],[]
43,,,[42],[]
44,,,"[30, 32, 37]",[]
45,,,[44],[]
46,,,"[43, 45]",[]
47,,,[33],[]
48,,,[47],[]
49,,,[48],[]
