task_id,baseline_start,baseline_end,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,task_name,total_cost
C2011-07_1,2010-01-01 08:00:00,2010-01-01T12:00:00,4.0,125.12,0.0,0.0,0.0,2.515,5.13,1.924,1.283,5.13,3.848,3.207,0.0,1.924,0.641,1.283,2.565,2.565,3.207,1.924,1.924,1.924,2.565,3.207,3.207,2.565,1.283,1.283,0.641,0.641,0.641,2.565,4.489,1.924,1.924,2.565,0.641,0.0,3.848,Compose survey for the staff,200.1
C2011-07_2,2010-01-11 13:00:00,2010-01-11T15:00:00,2.0,5137.28,0.0,0.0,0.0,103.259,210.649,78.993,52.662,210.649,157.987,131.656,0.0,78.993,26.331,52.662,105.324,105.324,131.656,78.993,78.993,78.993,105.324,131.656,131.656,105.324,52.662,52.662,26.331,26.331,26.331,105.324,184.318,78.993,78.993,105.324,26.331,0.0,157.987,Brainstorming and filling in the survey,8215.95
C2011-07_3,2010-03-02 08:00:00,2010-03-02T16:00:00,8.0,250.24,0.0,0.0,0.0,5.03,10.261,3.848,2.565,10.261,7.696,6.413,0.0,3.848,1.283,2.565,5.13,5.13,6.413,3.848,3.848,3.848,5.13,6.413,6.413,5.13,2.565,2.565,1.283,1.283,1.283,5.13,8.978,3.848,3.848,5.13,1.283,0.0,7.696,Collecting and analyzing the surveys,400.21
C2011-07_4,2010-03-03 08:00:00,2010-03-03T12:00:00,4.0,2416.32,0.0,0.0,0.0,48.568,99.079,37.155,24.77,99.079,74.309,61.924,0.0,37.155,12.385,24.77,49.539,49.539,61.924,37.155,37.155,37.155,49.539,61.924,61.924,49.539,24.77,24.77,12.385,12.385,12.385,49.539,86.694,37.155,37.155,49.539,12.385,0.0,74.309,"Get-together PC, ICT committee & board",3864.38
C2011-07_5,2010-03-03 15:00:00,2010-03-04T09:00:00,2.0,62.56,0.0,0.0,0.0,1.257,2.565,0.962,0.641,2.565,1.924,1.603,0.0,0.962,0.321,0.641,1.283,1.283,1.603,0.962,0.962,0.962,1.283,1.603,1.603,1.283,0.641,0.641,0.321,0.321,0.321,1.283,2.245,0.962,0.962,1.283,0.321,0.0,1.924,Enrollment of the meeting,100.05
C2011-07_6,2010-03-04 08:00:00,2010-03-05T16:00:00,16.0,942.4,0.0,0.0,0.0,18.942,38.642,14.491,9.661,38.642,28.982,24.151,0.0,14.491,4.83,9.661,19.321,19.321,24.151,14.491,14.491,14.491,19.321,24.151,24.151,19.321,9.661,9.661,4.83,4.83,4.83,19.321,33.812,14.491,14.491,19.321,4.83,0.0,28.982,Registering the technical requirements,1507.16
C2011-07_7,2010-03-22 08:00:00,2010-03-23T16:00:00,16.0,500.48,0.0,0.0,0.0,10.06,20.522,7.696,5.13,20.522,15.391,12.826,0.0,7.696,2.565,5.13,10.261,10.261,12.826,7.696,7.696,7.696,10.261,12.826,12.826,10.261,5.13,5.13,2.565,2.565,2.565,10.261,17.956,7.696,7.696,10.261,2.565,0.0,15.391,Set-up a detailed budget study,800.41
C2011-07_8,2010-04-14 08:00:00,2010-04-16T16:00:00,24.0,750.72,0.0,0.0,0.0,15.089,30.783,11.543,7.696,30.783,23.087,19.239,0.0,11.543,3.848,7.696,15.391,15.391,19.239,11.543,11.543,11.543,15.391,19.239,19.239,15.391,7.696,7.696,3.848,3.848,3.848,15.391,26.935,11.543,11.543,15.391,3.848,0.0,23.087,Putting together the formal document,1200.61
C2011-07_9,2010-04-19 08:00:00,2010-04-21T16:00:00,24.0,750.72,0.0,0.0,0.0,15.089,30.783,11.543,7.696,30.783,23.087,19.239,0.0,11.543,3.848,7.696,15.391,15.391,19.239,11.543,11.543,11.543,15.391,19.239,19.239,15.391,7.696,7.696,3.848,3.848,3.848,15.391,26.935,11.543,11.543,15.391,3.848,0.0,23.087,Research suppliers transport systems,1200.61
C2011-07_10,2010-04-30 13:00:00,2010-05-03T09:00:00,4.0,1974.4,0.0,0.0,0.0,39.685,80.958,30.359,20.24,80.958,60.719,50.599,0.0,30.359,10.12,20.24,40.479,40.479,50.599,30.359,30.359,30.359,40.479,50.599,50.599,40.479,20.24,20.24,10.12,10.12,10.12,40.479,70.838,30.359,30.359,40.479,10.12,0.0,60.719,Meeting with board for final proposal,3157.62
