source,target,type
2,3,FS
9,14,FS
23,24,FS
24,25,FS
15,26,FS
9,29,FS
3,30,FS
30,31,FS
29,34,FS
30,35,FS
31,36,FS
29,38,FS
30,39,FS
31,40,FS
29,42,FS
30,43,FS
31,44,FS
29,53,FS
26,54,FS
79,60,FS
54,62,FS
54,64,FS
10,70,FS
26,71,FS
71,73,FS
60,75,FS
43,79,FS
84,83,FS
67,85,FS
83,87,FS
83,89,FS
89,90,FS
85,91,FS
91,92,FS
111,112,FS
111,113,FS
115,116,FS
224,123,FS
225,124,FS
227,125,FS
123,126,FS
126,128,FS
128,129,FS
3,132,FS
221,133,FS
222,134,FS
134,135,FS
116,136,FS
136,138,FS
132,139,FS
133,140,FS
134,141,FS
132,143,FS
133,144,FS
134,145,FS
135,146,FS
136,147,FS
132,149,FS
133,150,FS
134,151,FS
135,152,FS
136,153,FS
132,155,FS
133,156,FS
134,157,FS
135,158,FS
136,159,FS
199,162,FS
191,163,FS
192,164,FS
193,165,FS
194,166,FS
190,168,FS
200,169,FS
192,170,FS
193,171,FS
194,172,FS
162,174,FS
163,175,FS
164,176,FS
165,177,FS
166,178,FS
188,187,FS
224,190,FS
225,191,FS
227,192,FS
229,193,FS
230,194,FS
187,196,FS
188,197,FS
190,199,FS
191,200,FS
192,201,FS
193,202,FS
194,203,FS
201,205,FS
232,207,FS
233,208,FS
234,209,FS
235,210,FS
207,213,FS
208,214,FS
209,215,FS
218,221,FS
228,224,FS
227,225,FS
134,227,FS
226,228,FS
135,229,FS
136,230,FS
239,238,FS
233,239,FS
234,240,FS
236,241,FS
233,243,FS
234,244,FS
252,249,FS
235,252,FS
236,253,FS
250,256,FS
251,257,FS
259,260,FS
257,261,FS
253,262,FS
264,265,FS
265,266,FS
270,271,FS
271,272,FS
272,273,FS
272,274,FS
274,275,FS
272,276,FS
276,277,FS
277,278,FS
280,281,FS
281,282,FS
282,283,FS
270,285,FS
285,286,FS
286,287,FS
287,288,FS
270,291,FS
291,292,FS
292,293,FS
293,294,FS
294,295,FS
295,296,FS
278,297,FS
295,299,FS
299,300,FS
300,301,FS
301,302,FS
302,303,FS
288,304,FS
295,309,FS
309,310,FS
253,313,FS
253,314,FS
253,315,FS
253,316,FS
253,317,FS
253,318,FS
253,319,FS
252,321,FS
252,322,FS
252,323,FS
252,324,FS
249,325,FS
321,326,FS
256,328,FS
257,330,FS
259,332,FS
260,333,FS
261,334,FS
262,335,FS
345,346,FS
347,348,FS
344,350,FS
359,354,FS
355,356,FS
356,357,FS
357,358,FS
358,359,FS
354,361,FS
355,362,FS
356,363,FS
357,364,FS
358,365,FS
359,366,FS
354,368,FS
355,369,FS
356,370,FS
357,371,FS
358,372,FS
359,373,FS
354,375,FS
355,376,FS
356,377,FS
357,378,FS
358,379,FS
359,380,FS
354,382,FS
355,383,FS
356,384,FS
357,385,FS
358,386,FS
359,387,FS
355,389,FS
356,390,FS
357,391,FS
358,392,FS
359,393,FS
344,402,FS
345,403,FS
403,404,FS
404,405,FS
405,406,FS
402,408,FS
408,409,FS
409,410,FS
410,411,FS
411,412,FS
447,414,FS
448,415,FS
449,416,FS
450,417,FS
451,418,FS
414,420,FS
414,422,FS
415,423,FS
416,424,FS
417,425,FS
418,426,FS
414,428,FS
415,429,FS
416,430,FS
417,431,FS
418,432,FS
434,435,FS
435,436,FS
436,437,FS
437,438,FS
434,440,FS
435,441,FS
436,442,FS
437,443,FS
438,444,FS
390,447,FS
391,448,FS
392,449,FS
393,450,FS
393,451,FS
453,459,FS
454,460,FS
455,461,FS
456,462,FS
457,463,FS
447,465,FS
448,466,FS
449,467,FS
450,468,FS
451,469,FS
453,472,FS
454,473,FS
455,474,FS
456,475,FS
457,476,FS
478,479,FS
479,480,FS
480,481,FS
481,482,FS
472,485,FS
473,486,FS
474,487,FS
475,488,FS
476,489,FS
489,490,FS
485,493,FS
486,494,FS
487,495,FS
488,496,FS
489,497,FS
490,498,FS
498,501,FS
501,502,FS
501,503,FS
501,504,FS
501,505,FS
