source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
5,6,FS
6,7,FS
7,8,FS
7,9,FS
9,14,FS
9,11,FS
11,12,FS
11,19,FS
19,20,FS
19,17,FS
17,22,FS
8,24,FS
24,25,FS
25,26,FS
26,27,FS
27,28,FS
28,29,FS
29,30,FS
30,31,FS
31,32,FS
32,33,FS
33,34,FS
34,35,FS
35,36,FS
8,41,FS
41,42,FS
42,38,FS
38,39,FS
41,63,FS
39,62,FS
62,66,FS
66,67,FS
67,68,FS
68,69,FS
69,70,FS
70,82,FS
82,83,FS
83,75,FS
75,73,FS
73,72,FS
83,80,FS
75,78,FS
75,77,FS
72,48,FS
48,49,FS
49,46,FS
46,44,FS
36,58,FS
58,59,FS
59,52,FS
52,51,FS
51,55,FS
55,56,FS
56,85,FS
85,86,FS
85,87,FS
87,88,FS
85,89,FS
86,91,FS
86,92,FS
92,93,FS
93,94,FS
