task_id,role,quantity,hourly_rate,type
1,Labourers,2.0,60.0,Renewable
1,Truck IVECO Trakker,1.0,70.0,Renewable
2,Labourers,4.0,60.0,Renewable
2,Truck IVECO Trakker,3.0,70.0,Renewable
2,Wheel Loader,1.0,60.0,Renewable
3,Labourers,3.0,60.0,Renewable
3,Bulldozer D8T,1.0,75.0,Renewable
3,Wheel Loader,1.0,60.0,Renewable
3,Truck IVECO Trakker,1.0,70.0,Renewable
4,Labourers,2.0,60.0,Renewable
4,Truck IVECO Trakker,1.0,70.0,Renewable
4,Crane,1.0,105.0,Renewable
5,Labourers,3.0,60.0,Renewable
5,Truck IVECO Trakker,1.0,70.0,Renewable
6,Labourers,2.0,60.0,Renewable
6,Truck IVECO Trakker,1.0,70.0,Renewable
7,Labourers,7.0,60.0,Renewable
7,Truck IVECO Trakker,5.0,70.0,Renewable
7,Wheel Loader,2.0,60.0,Renewable
7,Sheepfoot rolles,1.0,70.0,Renewable
7,Concrete Mixer Truck,1.0,95.0,Renewable
8,Labourers,4.0,60.0,Renewable
8,Truck IVECO Trakker,2.0,70.0,Renewable
8,Crawler Excavator,1.0,98.0,Renewable
8,Paler,1.0,65.0,Renewable
9,Labourers,3.0,60.0,Renewable
9,Truck IVECO Trakker,1.0,70.0,Renewable
9,Bulldozer D8T,1.0,75.0,Renewable
9,Wheel Loader,1.0,60.0,Renewable
14,Labourers,3.0,60.0,Renewable
14,Truck IVECO Trakker,1.0,70.0,Renewable
14,Crane,1.0,105.0,Renewable
11,Labourers,4.0,60.0,Renewable
11,Truck IVECO Trakker,1.0,70.0,Renewable
11,Concrete Mixer Truck,1.0,95.0,Renewable
11,Crane,1.0,105.0,Renewable
19,Labourers,10.0,60.0,Renewable
19,Truck IVECO Trakker,6.0,70.0,Renewable
19,Wheel Loader,2.0,60.0,Renewable
19,Sheepfoot rolles,1.0,70.0,Renewable
19,Concrete Mixer Truck,1.0,95.0,Renewable
20,Labourers,4.0,60.0,Renewable
20,Truck IVECO Trakker,1.0,70.0,Renewable
20,Crane,1.0,105.0,Renewable
17,Labourers,9.0,60.0,Renewable
17,Crawler Excavator,2.0,98.0,Renewable
17,Truck IVECO Trakker,6.0,70.0,Renewable
17,Sheepfoot rolles,1.0,70.0,Renewable
22,Labourers,4.0,60.0,Renewable
22,Truck IVECO Trakker,1.0,70.0,Renewable
22,Crane,1.0,105.0,Renewable
22,Crawler Excavator,1.0,98.0,Renewable
24,Labourers,4.0,60.0,Renewable
24,Truck IVECO Trakker,3.0,70.0,Renewable
24,Crawler Excavator,1.0,98.0,Renewable
25,Labourers,6.0,60.0,Renewable
25,Truck IVECO Trakker,1.0,70.0,Renewable
25,Drilling Rid,1.0,75.0,Renewable
25,Crane,1.0,105.0,Renewable
25,Wheel Loader,1.0,60.0,Renewable
25,Concrete Mixer Truck,1.0,95.0,Renewable
27,Labourers,4.0,60.0,Renewable
27,Truck IVECO Trakker,1.0,70.0,Renewable
27,Concrete Mixer Truck,1.0,95.0,Renewable
27,Crane,1.0,105.0,Renewable
29,Labourers,4.0,60.0,Renewable
29,Truck IVECO Trakker,1.0,70.0,Renewable
29,Concrete Mixer Truck,1.0,95.0,Renewable
29,Crane,1.0,105.0,Renewable
31,Labourers,4.0,60.0,Renewable
31,Truck IVECO Trakker,1.0,70.0,Renewable
31,Concrete Mixer Truck,1.0,95.0,Renewable
31,Crane,1.0,105.0,Renewable
33,Labourers,4.0,60.0,Renewable
33,Truck IVECO Trakker,1.0,70.0,Renewable
33,Crane,1.0,105.0,Renewable
34,Labourers,5.0,60.0,Renewable
34,Truck IVECO Trakker,1.0,70.0,Renewable
34,Concrete Mixer Truck,1.0,95.0,Renewable
34,Crane,1.0,105.0,Renewable
36,Labourers,5.0,60.0,Renewable
36,Truck IVECO Trakker,3.0,70.0,Renewable
36,Wheel Loader,1.0,60.0,Renewable
36,Sheepfoot rolles,1.0,70.0,Renewable
41,Labourers,3.0,60.0,Renewable
41,Truck IVECO Trakker,2.0,70.0,Renewable
41,Cold Milling Machine,1.0,230.0,Renewable
42,Labourers,3.0,60.0,Renewable
42,Truck IVECO Trakker,1.0,70.0,Renewable
42,Wheel Loader,1.0,60.0,Renewable
42,Bulldozer D8T,1.0,75.0,Renewable
38,Labourers,10.0,60.0,Renewable
38,Truck IVECO Trakker,6.0,70.0,Renewable
38,Wheel Loader,2.0,60.0,Renewable
38,Sheepfoot rolles,1.0,70.0,Renewable
38,Concrete Mixer Truck,1.0,95.0,Renewable
39,Labourers,4.0,60.0,Renewable
39,Truck IVECO Trakker,1.0,70.0,Renewable
39,Crane,1.0,105.0,Renewable
63,Labourers,2.0,60.0,Renewable
63,Truck IVECO Trakker,1.0,70.0,Renewable
63,Crane,1.0,105.0,Renewable
62,Labourers,4.0,60.0,Renewable
62,Truck IVECO Trakker,2.0,70.0,Renewable
62,Crawler Excavator,1.0,98.0,Renewable
62,Crane,1.0,105.0,Renewable
66,Labourers,5.0,60.0,Renewable
66,Crane,1.0,105.0,Renewable
66,Truck IVECO Trakker,1.0,70.0,Renewable
66,Concrete Mixer Truck,1.0,95.0,Renewable
68,Labourers,4.0,60.0,Renewable
68,Truck IVECO Trakker,1.0,70.0,Renewable
68,Crane,1.0,105.0,Renewable
69,Labourers,5.0,60.0,Renewable
69,Truck IVECO Trakker,1.0,70.0,Renewable
69,Crane,1.0,105.0,Renewable
82,Labourers,3.0,60.0,Renewable
82,Truck IVECO Trakker,2.0,70.0,Renewable
82,Cold Milling Machine,1.0,230.0,Renewable
83,Labourers,4.0,60.0,Renewable
83,Truck IVECO Trakker,2.0,70.0,Renewable
83,Bulldozer D8T,1.0,75.0,Renewable
83,Wheel Loader,1.0,60.0,Renewable
75,Labourers,10.0,60.0,Renewable
75,Truck IVECO Trakker,6.0,70.0,Renewable
75,Wheel Loader,2.0,60.0,Renewable
75,Sheepfoot rolles,1.0,70.0,Renewable
75,Tank Truck,1.0,78.0,Renewable
73,Labourers,3.0,60.0,Renewable
73,Crawler Excavator,1.0,98.0,Renewable
73,Sheepfoot rolles,1.0,70.0,Renewable
73,Tank Truck,1.0,78.0,Renewable
72,Labourers,10.0,60.0,Renewable
72,Truck IVECO Trakker,6.0,70.0,Renewable
72,Wheel Loader,2.0,60.0,Renewable
