task_id,baseline_start
1,2012-04-12 07:00:00
2,2012-04-13 07:00:00
3,2012-04-17 07:00:00
4,2012-04-18 07:00:00
5,2012-04-19 07:00:00
6,2012-04-23 07:00:00
7,2012-04-24 07:00:00
8,2012-04-30 07:00:00
9,2012-04-30 07:00:00
14,2012-05-04 07:00:00
11,2012-05-04 07:00:00
12,2012-05-07 07:00:00
19,2012-05-07 07:00:00
20,2012-05-30 07:00:00
17,2012-05-30 07:00:00
22,2012-06-11 07:00:00
24,2012-06-18 07:00:00
25,2012-06-19 07:00:00
26,2012-06-25 07:00:00
27,2012-07-09 07:00:00
28,2012-07-11 07:00:00
29,2012-07-25 07:00:00
30,2012-07-26 07:00:00
31,2012-08-09 07:00:00
32,2012-08-10 07:00:00
33,2012-08-24 07:00:00
34,2012-08-27 07:00:00
35,2012-08-28 07:00:00
36,2012-09-11 07:00:00
41,2012-06-18 07:00:00
42,2012-06-19 07:00:00
38,2012-06-26 07:00:00
39,2012-07-23 07:00:00
63,2012-06-19 07:00:00
62,2012-07-25 07:00:00
66,2012-07-30 07:00:00
67,2012-07-31 07:00:00
68,2012-08-14 07:00:00
69,2012-08-15 07:00:00
70,2012-08-16 07:00:00
82,2012-08-30 07:00:00
83,2012-08-31 07:00:00
75,2012-09-18 07:00:00
73,2012-11-15 07:00:00
72,2012-11-16 07:00:00
80,2012-09-18 07:00:00
78,2012-11-15 07:00:00
77,2012-11-15 07:00:00
48,2012-11-19 07:00:00
49,2012-11-20 07:00:00
46,2012-11-23 07:00:00
44,2012-12-07 07:00:00
58,2012-12-10 07:00:00
59,2012-12-11 07:00:00
52,2012-12-24 07:00:00
51,2013-01-01 07:00:00
55,2013-01-11 07:00:00
56,2013-01-18 07:00:00
85,2013-01-30 07:00:00
86,2013-03-13 07:00:00
87,2013-03-13 07:00:00
88,2013-03-26 07:00:00
89,2013-03-13 07:00:00
91,2013-04-19 07:00:00
92,2013-04-19 07:00:00
93,2013-04-22 07:00:00
94,2013-04-26 07:00:00
