task_id,task_name,baseline_start,g7_dur_months,g7_dur_weeks,g7_dur_days,g7_dur_hours,g7_ot_hours,complexity,weather_contingency,general_contingency,rework_risk,risk_factor,base_cost,total_cost,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost
C2012-04_1,Pegging and fence,2012-04-12 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,11710.0,14637.500000000002,1080.0,10000.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_2,Clearing site,2012-04-13 07:00:00,0,0,2,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,9180.0,11475.000000000002,4320.0,0.0,4860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_3,Levelling ground,2012-04-17 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,3465.0,4331.250000000001,1620.0,0.0,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_4,Containers placement,2012-04-18 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,2655.0,3318.7500000000005,1080.0,0.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_5,Connection to network service,2012-04-19 07:00:00,0,0,2,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,4500.0,5625.000000000001,3240.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_6,Pegging road,2012-04-23 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,31710.0,39637.50000000001,1080.0,30000.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_7,Alternative road system,2012-04-24 07:00:00,0,0,4,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,87980.0,109975.00000000001,15120.0,50000.0,22860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_8,Demolition,2012-04-30 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,4887.0,6108.750000000001,2160.0,0.0,2727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_9,Clearing subbase and topsoil removal,2012-04-30 07:00:00,0,0,4,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,13860.0,17325.000000000004,6480.0,0.0,7380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2012-04_14,Manhole covers,2012-05-04 07:00:00,0,0,1,0,0.0,0.05,0.15000000000000002,0.05,0.0,1.2500000000000002,6195.0,7743.750000000002,1620.0,3000.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
