source,target,type
2,4,FS
5,7,FS
9,10,FS
10,11,FS
11,12,FS
13,14,FS
18,19,FS
19,20,FS
26,27,FS
27,28,FS
31,32,FS
32,33,FS
33,34,FS
7,40,FS
40,41,FS
19,44,FS
44,45,FS
46,47,FS
49,51,FS
49,52,FS
49,53,FS
49,54,FS
54,55,FS
58,59,FS
63,64,FS
58,66,FS
66,67,FS
67,68,FS
67,69,FS
89,72,FS
89,73,FS
73,74,FS
77,78,FS
81,82,FS
91,92,FS
107,108,FS
114,115,FS
113,137,FS
140,141,FS
141,142,FS
142,143,FS
150,153,FS
153,154,FS
154,155,FS
150,157,FS
157,160,FS
160,161,FS
161,162,FS
157,164,FS
164,167,FS
167,168,FS
168,169,FS
164,171,FS
171,174,FS
174,175,FS
175,176,FS
176,178,FS
186,187,FS
7,189,FS
189,190,FS
185,195,FS
198,199,FS
199,200,FS
200,201,FS
