source,target,type
1,2,FS
2,3,FS
551,11,FS
6,7,FS
3,526,FS
3,527,FS
3,528,FS
3,529,FS
3,530,FS
3,531,FS
3,532,FS
3,533,FS
3,534,FS
3,535,FS
3,536,FS
3,537,FS
3,538,FS
3,539,FS
3,540,FS
3,541,FS
3,542,FS
3,543,FS
3,544,FS
3,545,FS
3,546,FS
3,547,FS
3,548,FS
3,549,FS
3,550,FS
526,12,FS
527,13,FS
528,14,FS
529,196,FS
530,197,FS
531,198,FS
532,199,FS
533,200,FS
534,201,FS
535,202,FS
536,203,FS
537,204,FS
538,205,FS
539,206,FS
540,207,FS
541,208,FS
542,209,FS
543,210,FS
544,211,FS
545,212,FS
546,213,FS
547,214,FS
548,215,FS
549,216,FS
550,217,FS
12,16,FS
16,17,FS
13,162,FS
14,218,FS
196,219,FS
197,220,FS
198,221,FS
199,222,FS
200,223,FS
201,224,FS
202,225,FS
203,226,FS
204,227,FS
205,228,FS
206,229,FS
207,230,FS
208,231,FS
209,232,FS
210,233,FS
211,234,FS
212,235,FS
213,236,FS
214,237,FS
215,238,FS
216,239,FS
217,240,FS
162,241,FS
218,242,FS
219,243,FS
220,244,FS
221,245,FS
222,246,FS
223,247,FS
224,248,FS
225,249,FS
226,250,FS
227,251,FS
228,252,FS
229,253,FS
230,254,FS
231,255,FS
232,256,FS
233,257,FS
234,258,FS
235,259,FS
236,260,FS
237,261,FS
238,262,FS
239,263,FS
240,264,FS
21,25,FS
25,337,FS
337,338,FS
338,339,FS
339,340,FS
340,341,FS
341,342,FS
342,343,FS
343,344,FS
344,345,FS
345,346,FS
346,347,FS
347,348,FS
348,349,FS
349,350,FS
350,351,FS
351,352,FS
352,353,FS
353,354,FS
354,355,FS
355,356,FS
356,357,FS
357,358,FS
358,359,FS
25,29,FS
337,360,FS
338,361,FS
339,362,FS
340,363,FS
341,364,FS
342,365,FS
343,366,FS
344,367,FS
345,368,FS
346,369,FS
347,370,FS
348,371,FS
349,372,FS
350,373,FS
351,374,FS
352,375,FS
353,376,FS
354,377,FS
355,378,FS
356,379,FS
357,380,FS
358,381,FS
359,382,FS
29,31,FS
360,383,FS
361,384,FS
362,385,FS
363,386,FS
364,387,FS
365,388,FS
366,389,FS
367,390,FS
368,391,FS
369,392,FS
370,393,FS
371,394,FS
372,395,FS
373,396,FS
374,397,FS
375,398,FS
376,399,FS
377,400,FS
378,401,FS
379,402,FS
380,403,FS
381,404,FS
382,405,FS
31,313,FS
383,314,FS
