task_id,duration_factor,expected_delay,uncertainty_sigma
C2012-08_1,1.2373,56.9589,20.8931
C2012-08_2,1.273,100.6453,28.23
C2012-08_3,1.1355,102.8139,28.3932
C2012-08_551,1.1941,155.2777,69.3682
C2012-08_11,1.2867,114.6785,36.6511
C2012-08_6,1.2657,63.7698,26.7767
C2012-08_7,1.2253,153.8956,56.4024
C2012-08_526,1.047,154.6476,56.1614
C2012-08_527,1.1639,156.5183,56.1818
C2012-08_528,1.1056,155.5846,56.7789
C2012-08_529,1.1246,155.8889,56.4942
C2012-08_530,1.0923,155.3718,56.3952
C2012-08_531,1.0952,155.4191,56.4672
C2012-08_532,1.0869,155.2861,56.3378
C2012-08_533,1.1447,156.2105,56.4316
C2012-08_534,1.147,156.2479,56.6485
C2012-08_535,1.1004,155.5021,56.5932
C2012-08_536,1.1335,156.0311,56.4035
C2012-08_537,1.0491,154.6812,56.229
C2012-08_538,1.0787,155.1551,56.2735
C2012-08_539,1.0627,154.8981,56.1749
C2012-08_540,1.0583,154.8283,56.1944
C2012-08_541,1.1381,156.1053,56.1919
C2012-08_542,1.0697,155.0113,56.5466
C2012-08_543,1.0469,154.6461,56.5457
C2012-08_544,1.1546,156.3694,56.2828
C2012-08_545,1.0901,155.3376,56.702
C2012-08_546,1.0666,154.9606,55.8681
C2012-08_547,1.1276,155.9368,56.2845
C2012-08_548,1.0988,155.4759,56.413
C2012-08_549,1.0596,154.8489,56.4612
C2012-08_550,1.0486,154.6728,56.5334
C2012-08_12,1.0961,157.723,55.8184
C2012-08_13,1.0809,159.1065,56.0806
C2012-08_14,1.0799,158.1425,56.6428
C2012-08_196,1.1338,160.1719,57.5534
C2012-08_197,1.099,158.5391,56.5021
C2012-08_198,1.1498,160.2115,56.4099
C2012-08_199,1.1149,158.9641,57.108
C2012-08_200,1.1077,159.6569,56.6294
C2012-08_201,1.0896,159.1167,57.0953
C2012-08_202,1.1351,159.8238,57.0185
C2012-08_203,1.1404,160.5249,56.4752
C2012-08_204,1.0761,157.1176,56.2946
C2012-08_205,1.0835,157.8264,55.4354
C2012-08_206,1.1266,158.9488,56.7716
C2012-08_207,1.1147,158.4985,55.8629
C2012-08_208,1.0386,157.3411,56.3623
C2012-08_209,1.1261,159.0458,56.7061
C2012-08_210,1.0952,157.6916,55.7674
C2012-08_211,1.0871,159.1556,56.5527
C2012-08_212,1.0784,157.8448,57.6265
C2012-08_213,1.0487,156.5186,55.8208
C2012-08_214,1.1117,159.5127,55.439
C2012-08_215,1.0745,157.8604,56.5044
C2012-08_216,1.1113,158.4113,56.7092
C2012-08_217,1.1105,158.2083,56.6821
C2012-08_16,1.1337,159.8624,56.0064
C2012-08_17,1.0994,161.4532,56.1231
C2012-08_162,1.0766,160.3323,55.9384
C2012-08_218,1.1295,160.2144,56.4323
C2012-08_219,1.0753,161.3762,57.3906
C2012-08_220,1.1023,160.1752,56.8229
C2012-08_221,1.1434,162.5053,56.5448
C2012-08_222,1.0734,160.1389,57.0164
C2012-08_223,1.112,161.4482,56.7642
C2012-08_224,1.1318,161.2262,57.1117
C2012-08_225,1.0519,160.6542,56.9752
C2012-08_226,1.0618,161.513,56.5023
C2012-08_227,1.1296,159.1905,56.1806
C2012-08_228,1.1231,159.7959,55.1388
C2012-08_229,1.0886,160.3662,57.0515
C2012-08_230,1.1036,160.1559,55.9011
C2012-08_231,1.0572,158.256,56.3727
C2012-08_232,1.0706,160.1749,56.6369
C2012-08_233,1.0587,158.6309,55.4915
C2012-08_234,1.0533,160.0079,56.7876
C2012-08_235,1.1127,159.6488,57.5176
C2012-08_236,1.0708,157.652,55.6509
C2012-08_237,1.1196,161.4258,55.4433
C2012-08_238,1.0449,158.5796,56.5021
C2012-08_239,1.1179,160.2978,57.1141
C2012-08_240,1.1579,160.735,56.7648
C2012-08_241,1.1148,162.169,56.1456
C2012-08_242,1.0967,161.7615,56.5454
C2012-08_243,1.0961,162.9144,57.3519
C2012-08_244,1.0579,161.1021,56.8101
C2012-08_245,1.0849,163.863,56.5573
C2012-08_246,1.0451,160.8598,57.1614
C2012-08_247,1.1096,163.2014,56.6748
C2012-08_248,1.1036,162.8835,57.4755
C2012-08_249,1.0897,162.0894,56.8751
C2012-08_250,1.1032,163.1637,56.4629
C2012-08_251,1.057,160.1017,56.1296
C2012-08_252,1.1261,161.8141,55.2928
C2012-08_253,1.0785,161.6229,57.0629
C2012-08_254,1.1127,161.9585,55.9767
C2012-08_255,1.0596,159.2102,56.1605
C2012-08_256,1.0827,161.4979,56.545
C2012-08_257,1.1369,160.8211,55.7465
C2012-08_258,1.1407,162.2589,57.0023
C2012-08_259,1.1184,161.5437,57.4876
C2012-08_260,1.1116,159.4369,55.7829
C2012-08_261,1.096,162.9611,55.2172
C2012-08_262,1.1145,160.4114,56.3176
C2012-08_263,1.14,162.5377,57.0346
C2012-08_264,1.1506,163.1446,56.8319
C2012-08_21,1.2555,491.244,178.6058
C2012-08_23,1.2426,465.7077,212.0414
C2012-08_25,1.1965,28.3876,14.3393
C2012-08_337,1.2783,68.3642,18.735
C2012-08_338,1.2652,106.5577,24.2605
C2012-08_339,1.3139,151.7599,30.7197
C2012-08_340,1.3134,196.8873,33.7458
C2012-08_341,1.2884,238.4137,39.4977
C2012-08_342,1.2413,273.1632,39.421
C2012-08_343,1.2961,315.8007,41.2221
C2012-08_344,1.2852,356.864,44.137
C2012-08_345,1.2505,392.9323,43.8411
C2012-08_346,1.2415,427.7097,45.8426
C2012-08_347,1.2866,468.9809,49.1425
C2012-08_348,1.2546,505.6463,51.0419
C2012-08_349,1.3129,550.6983,54.6437
C2012-08_350,1.2729,589.9949,56.58
C2012-08_351,1.2468,625.5391,58.8869
C2012-08_352,1.2878,666.9827,59.8479
C2012-08_353,1.2561,703.8578,62.5962
C2012-08_354,1.214,734.6741,65.3447
C2012-08_355,1.1996,763.4097,64.7442
C2012-08_356,1.2706,802.3747,70.6242
C2012-08_357,1.2361,836.3671,72.8118
C2012-08_358,1.1943,864.3407,74.6271
C2012-08_359,1.2987,907.3479,78.4191
C2012-08_27,1.2082,267.2308,145.7635
C2012-08_29,1.2311,61.5702,18.8696
C2012-08_360,1.2398,102.8953,24.682
C2012-08_361,1.2349,140.3879,29.6071
C2012-08_362,1.2959,194.3658,37.0117
C2012-08_363,1.2381,231.1802,40.8909
C2012-08_364,1.2376,272.6271,42.8804
C2012-08_365,1.3005,316.4392,43.9305
C2012-08_366,1.2174,347.0999,43.1534
C2012-08_367,1.2849,397.895,45.1828
C2012-08_368,1.255,429.6562,45.7234
C2012-08_369,1.2587,464.9611,48.5876
C2012-08_370,1.2751,508.6016,53.5682
C2012-08_371,1.2795,545.8908,52.4374
C2012-08_372,1.2275,583.462,60.1218
C2012-08_373,1.2717,629.1266,56.4761
C2012-08_374,1.2667,663.9471,64.8817
C2012-08_375,1.2477,702.6536,60.3467
C2012-08_376,1.2746,743.4019,63.4841
C2012-08_377,1.229,767.6527,66.9873
C2012-08_378,1.2834,804.2196,66.898
C2012-08_379,1.2772,842.2879,71.7705
C2012-08_380,1.2648,874.5031,76.1691
C2012-08_381,1.2403,898.9389,75.6211
C2012-08_382,1.2861,948.5468,76.4201
C2012-08_31,1.1598,64.1266,18.8794
C2012-08_383,1.0529,103.7411,24.3906
C2012-08_384,1.1088,142.1289,29.56
C2012-08_385,1.0774,195.6037,37.1966
C2012-08_386,1.07,232.3004,40.8474
C2012-08_387,1.1211,274.5643,42.7913
C2012-08_388,1.0666,317.505,44.4353
C2012-08_389,1.1386,349.3175,43.1091
C2012-08_390,1.0644,398.9254,45.1359
C2012-08_391,1.1342,431.8027,45.6207
C2012-08_392,1.0765,466.1854,48.6762
C2012-08_393,1.1064,510.3033,53.367
C2012-08_394,1.1101,547.6531,52.4207
C2012-08_395,1.1332,585.5936,60.5456
C2012-08_396,1.0872,630.5223,56.7366
C2012-08_397,1.0834,665.2821,64.906
C2012-08_398,1.1138,704.4739,60.1406
C2012-08_399,1.1298,745.4782,63.9936
C2012-08_400,1.1163,769.5137,66.7824
C2012-08_401,1.1184,806.1137,66.7493
C2012-08_402,1.1223,844.2445,71.9622
C2012-08_403,1.0864,875.8853,75.9182
C2012-08_404,1.0991,900.5245,75.3774
C2012-08_405,1.0888,949.9681,76.3373
C2012-08_313,1.0991,65.7127,18.4502
C2012-08_314,1.1207,105.6719,24.2294
C2012-08_315,1.0899,143.5676,29.82
C2012-08_316,1.0714,196.7463,37.6524
C2012-08_317,1.1,233.8998,40.5026
C2012-08_318,1.0359,275.1381,42.8261
C2012-08_319,1.1367,319.6921,44.5326
C2012-08_320,1.0975,350.8781,42.9759
C2012-08_321,1.1271,400.9584,45.1668
C2012-08_322,1.1139,433.6249,45.5217
C2012-08_323,1.1356,468.3549,48.9276
C2012-08_324,1.1029,511.9497,53.2514
C2012-08_325,1.0936,549.151,52.2575
C2012-08_326,1.0732,586.7641,60.777
C2012-08_327,1.1045,632.194,56.6467
C2012-08_328,1.0943,666.7915,64.8062
