task_id,resource_id,request_quantity
C2012-08_3,Laborer,5.0
C2012-08_3,Skipper,1.0
C2012-08_3,Engineer,3.0
C2012-08_3,Vessel Buzzard,1.0
C2012-08_6,Laborer,5.0
C2012-08_6,Skipper,1.0
C2012-08_6,Vessel Pompei,1.0
C2012-08_7,Laborer,22.0
C2012-08_7,Skipper,1.0
C2012-08_7,Engineer,6.0
C2012-08_7,Vessel Pompei,1.0
C2012-08_526,Laborer,5.0
C2012-08_526,Skipper,0.5
C2012-08_526,Vessel Maersk,0.5
C2012-08_526,Crane,1.0
C2012-08_527,Laborer,5.0
C2012-08_527,Skipper,0.5
C2012-08_527,Vessel Maersk,0.5
C2012-08_527,Crane,1.0
C2012-08_528,Laborer,5.0
C2012-08_528,Skipper,0.5
C2012-08_528,Vessel Maersk,0.5
C2012-08_528,Crane,1.0
C2012-08_529,Laborer,5.0
C2012-08_529,Skipper,0.5
C2012-08_529,Vessel Maersk,0.5
C2012-08_529,Crane,1.0
C2012-08_530,Laborer,5.0
C2012-08_530,Skipper,0.5
C2012-08_530,Vessel Maersk,0.5
C2012-08_530,Crane,1.0
C2012-08_531,Laborer,5.0
C2012-08_531,Skipper,0.5
C2012-08_531,Vessel Maersk,0.5
C2012-08_531,Crane,1.0
C2012-08_532,Laborer,5.0
C2012-08_532,Skipper,0.5
C2012-08_532,Vessel Maersk,0.5
C2012-08_532,Crane,1.0
C2012-08_533,Laborer,5.0
C2012-08_533,Skipper,0.5
C2012-08_533,Vessel Maersk,0.5
C2012-08_533,Crane,1.0
C2012-08_534,Laborer,5.0
C2012-08_534,Skipper,0.5
C2012-08_534,Vessel Maersk,0.5
C2012-08_534,Crane,1.0
C2012-08_535,Laborer,5.0
C2012-08_535,Skipper,0.5
C2012-08_535,Vessel Maersk,0.5
C2012-08_535,Crane,1.0
C2012-08_536,Laborer,5.0
C2012-08_536,Skipper,0.5
C2012-08_536,Vessel Maersk,0.5
C2012-08_536,Crane,1.0
C2012-08_537,Laborer,5.0
C2012-08_537,Skipper,0.5
C2012-08_537,Vessel Maersk,0.5
C2012-08_537,Crane,1.0
C2012-08_538,Laborer,5.0
C2012-08_538,Skipper,0.5
C2012-08_538,Vessel Maersk,0.5
C2012-08_538,Crane,1.0
C2012-08_539,Laborer,5.0
C2012-08_539,Skipper,0.5
C2012-08_539,Vessel Maersk,0.5
C2012-08_539,Crane,1.0
C2012-08_540,Laborer,5.0
C2012-08_540,Skipper,0.5
C2012-08_540,Vessel Maersk,0.5
C2012-08_540,Crane,1.0
C2012-08_541,Laborer,5.0
C2012-08_541,Skipper,0.5
C2012-08_541,Vessel Maersk,0.5
C2012-08_541,Crane,1.0
C2012-08_542,Laborer,5.0
C2012-08_542,Skipper,0.5
C2012-08_542,Vessel Maersk,0.5
C2012-08_542,Crane,1.0
C2012-08_543,Laborer,5.0
C2012-08_543,Skipper,0.5
C2012-08_543,Vessel Maersk,0.5
C2012-08_543,Crane,1.0
C2012-08_544,Laborer,5.0
C2012-08_544,Skipper,0.5
C2012-08_544,Vessel Maersk,0.5
C2012-08_544,Crane,1.0
C2012-08_545,Laborer,5.0
C2012-08_545,Skipper,0.5
C2012-08_545,Vessel Maersk,0.5
C2012-08_545,Crane,1.0
C2012-08_546,Laborer,5.0
C2012-08_546,Skipper,0.5
C2012-08_546,Vessel Maersk,0.5
C2012-08_546,Crane,1.0
C2012-08_547,Laborer,5.0
C2012-08_547,Skipper,0.5
C2012-08_547,Vessel Maersk,0.5
C2012-08_547,Crane,1.0
C2012-08_548,Laborer,5.0
C2012-08_548,Skipper,0.5
C2012-08_548,Vessel Maersk,0.5
C2012-08_548,Crane,1.0
C2012-08_549,Laborer,5.0
C2012-08_549,Skipper,0.5
C2012-08_549,Vessel Maersk,0.5
C2012-08_549,Crane,1.0
C2012-08_550,Laborer,5.0
C2012-08_550,Skipper,0.5
C2012-08_550,Vessel Maersk,0.5
C2012-08_550,Crane,1.0
C2012-08_12,Laborer,22.0
C2012-08_12,Skipper,1.0
C2012-08_12,Engineer,6.0
C2012-08_12,Vessel Buzzard,1.0
C2012-08_13,Laborer,22.0
C2012-08_13,Skipper,1.0
C2012-08_13,Engineer,6.0
C2012-08_13,Vessel Buzzard,1.0
C2012-08_14,Laborer,22.0
C2012-08_14,Skipper,1.0
C2012-08_14,Engineer,6.0
C2012-08_14,Vessel Buzzard,1.0
C2012-08_196,Laborer,22.0
C2012-08_196,Skipper,1.0
C2012-08_196,Engineer,6.0
C2012-08_196,Vessel Buzzard,1.0
C2012-08_197,Laborer,22.0
C2012-08_197,Skipper,1.0
C2012-08_197,Engineer,6.0
C2012-08_197,Vessel Buzzard,1.0
C2012-08_198,Laborer,22.0
C2012-08_198,Skipper,1.0
C2012-08_198,Engineer,6.0
C2012-08_198,Vessel Buzzard,1.0
C2012-08_199,Laborer,22.0
C2012-08_199,Skipper,1.0
C2012-08_199,Engineer,6.0
C2012-08_199,Vessel Buzzard,1.0
C2012-08_200,Laborer,22.0
C2012-08_200,Skipper,1.0
C2012-08_200,Engineer,6.0
C2012-08_200,Vessel Buzzard,1.0
C2012-08_201,Laborer,22.0
C2012-08_201,Skipper,1.0
C2012-08_201,Engineer,6.0
C2012-08_201,Vessel Buzzard,1.0
C2012-08_202,Laborer,22.0
C2012-08_202,Skipper,1.0
C2012-08_202,Engineer,6.0
C2012-08_202,Vessel Buzzard,1.0
C2012-08_203,Laborer,22.0
C2012-08_203,Skipper,1.0
C2012-08_203,Engineer,6.0
C2012-08_203,Vessel Buzzard,1.0
C2012-08_204,Laborer,22.0
C2012-08_204,Skipper,1.0
C2012-08_204,Engineer,6.0
