source,target,type
5,6,FS
6,7,FS
7,8,FS
7,9,FS
5,10,FS
6,11,FS
7,12,FS
8,13,FS
15,16,FS
16,17,FS
17,18,FS
20,21,FS
21,22,FS
22,23,FS
22,24,FS
26,27,FS
27,28,FS
28,29,FS
26,30,FS
27,31,FS
28,32,FS
29,33,FS
35,36,FS
36,37,FS
37,38,FS
40,41,FS
41,42,FS
42,43,FS
46,47,FS
47,48,FS
48,49,FS
51,52,FS
52,53,FS
53,54,FS
56,57,FS
57,58,FS
58,59,FS
61,62,FS
62,63,FS
63,64,FS
66,70,FS
67,71,FS
68,72,FS
69,73,FS
70,74,FS
71,75,FS
72,76,FS
73,77,FS
74,78,FS
75,79,FS
76,80,FS
77,81,FS
83,84,FS
84,85,FS
87,88,FS
88,89,FS
89,90,FS
93,94,FS
94,95,FS
97,98,FS
98,99,FS
101,102,FS
102,103,FS
105,106,FS
106,107,FS
109,110,FS
110,111,FS
113,114,FS
114,115,FS
117,118,FS
118,119,FS
126,127,FS
127,128,FS
128,129,FS
131,132,FS
132,133,FS
133,134,FS
136,137,FS
137,138,FS
138,139,FS
141,142,FS
141,143,FS
141,144,FS
142,145,FS
143,146,FS
144,147,FS
145,148,FS
146,149,FS
147,150,FS
147,151,FS
153,154,FS
154,155,FS
155,156,FS
155,157,FS
153,159,FS
154,160,FS
155,161,FS
156,162,FS
164,165,FS
165,166,FS
166,167,FS
169,170,FS
170,171,FS
171,172,FS
174,175,FS
175,176,FS
176,177,FS
180,181,FS
181,182,FS
182,183,FS
186,187,FS
186,188,FS
187,189,FS
188,190,FS
189,191,FS
190,192,FS
194,195,FS
195,196,FS
196,197,FS
200,201,FS
201,202,FS
206,207,FS
207,208,FS
208,209,FS
211,212,FS
212,213,FS
213,214,FS
211,216,FS
212,217,FS
213,218,FS
214,219,FS
221,223,FS
223,224,FS
224,225,FS
228,229,FS
229,230,FS
230,231,FS
235,236,FS
236,237,FS
237,238,FS
242,243,FS
243,244,FS
244,245,FS
244,246,FS
249,250,FS
250,251,FS
249,253,FS
250,254,FS
251,255,FS
257,258,FS
258,259,FS
261,262,FS
262,263,FS
267,268,FS
268,269,FS
269,270,FS
272,273,FS
273,274,FS
274,275,FS
277,278,FS
278,279,FS
279,280,FS
279,281,FS
277,283,FS
278,284,FS
279,285,FS
280,286,FS
288,289,FS
289,290,FS
290,291,FS
294,295,FS
295,296,FS
296,297,FS
299,300,FS
300,301,FS
301,302,FS
301,303,FS
301,304,FS
299,305,FS
300,306,FS
301,307,FS
302,308,FS
303,309,FS
313,314,FS
314,315,FS
315,316,FS
318,319,FS
319,320,FS
320,321,FS
323,324,FS
324,325,FS
325,326,FS
328,329,FS
328,330,FS
329,331,FS
331,332,FS
334,335,FS
335,336,FS
336,337,FS
339,340,FS
340,341,FS
341,342,FS
346,347,FS
347,348,FS
348,349,FS
351,352,FS
352,353,FS
353,354,FS
356,357,FS
357,358,FS
358,359,FS
361,362,FS
362,363,FS
363,364,FS
