source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
5,6,FS
6,7,FS
7,8,FS
8,9,FS
8,10,FS
10,11,FS
7,12,FS
6,13,FS
13,14,FS
5,15,FS
14,16,FS
11,17,FS
17,18,FS
16,19,FS
10,20,FS
10,21,FS
19,22,FS
22,23,FS
23,24,FS
20,25,FS
24,26,FS
25,27,FS
25,28,FS
27,29,FS
29,30,FS
30,31,FS
31,32,FS
28,33,FS
32,34,FS
33,35,FS
34,36,FS
33,37,FS
36,38,FS
37,39,FS
38,40,FS
40,41,FS
30,42,FS
41,43,FS
43,44,FS
44,45,FS
45,46,FS
46,47,FS
47,48,FS
48,49,FS
49,50,FS
50,51,FS
51,52,FS
41,53,FS
52,54,FS
53,55,FS
55,56,FS
56,57,FS
57,58,FS
58,59,FS
39,60,FS
57,61,FS
60,62,FS
61,63,FS
63,64,FS
64,65,FS
65,66,FS
66,67,FS
62,68,FS
68,69,FS
61,70,FS
70,71,FS
71,72,FS
67,73,FS
69,74,FS
