source,target,type
3,15,FS
10,20,FS
15,22,FS
4,23,FS
20,24,FS
7,25,FS
13,26,FS
22,29,FS
9,33,FS
29,34,FS
33,36,FS
36,40,FS
34,41,FS
25,43,FS
41,44,FS
44,46,FS
23,47,FS
46,49,FS
49,52,FS
40,53,FS
43,54,FS
52,57,FS
54,59,FS
42,62,FS
26,63,FS
57,64,FS
63,68,FS
59,69,FS
24,70,FS
53,71,FS
69,72,FS
47,73,FS
37,74,FS
62,77,FS
64,80,FS
73,82,FS
72,84,FS
80,85,FS
70,87,FS
84,91,FS
68,92,FS
71,93,FS
74,94,FS
77,97,FS
93,98,FS
94,99,FS
87,100,FS
91,101,FS
85,102,FS
102,104,FS
92,106,FS
100,111,FS
101,112,FS
97,113,FS
104,114,FS
99,115,FS
114,116,FS
116,119,FS
112,120,FS
119,121,FS
121,123,FS
120,124,FS
113,125,FS
111,126,FS
115,127,FS
123,128,FS
126,130,FS
128,131,FS
131,132,FS
124,133,FS
106,136,FS
98,137,FS
132,139,FS
139,140,FS
