source,target,type
33,1,FS
85,2,FS
1,3,FS
2,4,FS
85,5,FS
4,6,FS
80,7,FS
78,8,FS
79,9,FS
81,10,FS
85,11,FS
79,12,FS
49,13,FS
22,14,FS
75,15,FS
13,16,FS
12,17,FS
82,18,FS
18,19,FS
86,20,FS
20,21,FS
71,22,FS
52,23,FS
23,24,FS
24,25,FS
85,26,FS
85,27,FS
85,29,FS
85,30,FS
85,31,FS
85,32,FS
85,33,FS
85,34,FS
26,35,FS
5,36,FS
36,37,FS
5,38,FS
40,39,FS
85,40,FS
39,41,FS
39,42,FS
39,43,FS
28,44,FS
28,45,FS
48,46,FS
29,47,FS
47,48,FS
41,49,FS
51,50,FS
69,51,FS
53,52,FS
54,53,FS
3,54,FS
34,55,FS
65,56,FS
65,57,FS
31,58,FS
66,59,FS
59,60,FS
59,61,FS
27,62,FS
43,63,FS
46,64,FS
31,65,FS
32,66,FS
32,67,FS
30,68,FS
68,69,FS
16,70,FS
35,71,FS
35,72,FS
60,73,FS
60,74,FS
25,75,FS
25,76,FS
25,77,FS
4,78,FS
4,79,FS
6,80,FS
17,81,FS
14,82,FS
82,83,FS
83,84,FS
85,86,FS
