source,target,type
8,9,FS
9,10,FS
10,11,FS
10,12,FS
11,14,FS
14,16,FS
16,17,FS
17,18,FS
18,19,FS
18,20,FS
20,21,FS
21,22,FS
48,23,FS
29,24,FS
19,27,FS
19,28,FS
19,29,FS
19,30,FS
11,32,FS
32,33,FS
33,34,FS
34,35,FS
35,37,FS
37,38,FS
38,39,FS
39,40,FS
40,41,FS
41,42,FS
40,43,FS
42,44,FS
44,45,FS
42,46,FS
45,47,FS
47,48,FS
45,51,FS
45,52,FS
45,53,FS
45,54,FS
40,56,FS
56,57,FS
57,58,FS
58,59,FS
59,61,FS
61,62,FS
62,63,FS
63,64,FS
64,65,FS
65,66,FS
66,67,FS
64,70,FS
64,72,FS
75,74,FS
34,75,FS
75,76,FS
76,78,FS
78,79,FS
79,80,FS
80,81,FS
81,82,FS
82,83,FS
83,84,FS
83,87,FS
83,88,FS
83,89,FS
83,91,FS
91,92,FS
92,93,FS
93,94,FS
94,95,FS
91,97,FS
95,98,FS
98,99,FS
98,100,FS
100,101,FS
100,102,FS
100,104,FS
106,107,FS
107,108,FS
106,110,FS
110,111,FS
111,112,FS
112,113,FS
110,115,FS
41,117,FS
117,118,FS
118,120,FS
120,121,FS
121,122,FS
122,123,FS
126,124,FS
123,125,FS
123,126,FS
126,127,FS
125,130,FS
130,131,FS
125,133,FS
135,136,FS
136,138,FS
136,139,FS
135,143,FS
136,144,FS
146,148,FS
151,152,FS
151,154,FS
156,157,FS
157,158,FS
158,159,FS
158,162,FS
162,163,FS
163,164,FS
166,167,FS
167,168,FS
168,169,FS
169,170,FS
170,173,FS
173,174,FS
174,175,FS
179,180,FS
180,181,FS
181,182,FS
182,183,FS
179,186,FS
186,187,FS
187,188,FS
