source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
23,6,FS
1,10,FS
1,11,FS
1,12,FS
1,13,FS
4,20,FS
20,21,FS
21,22,FS
21,23,FS
23,24,FS
24,25,FS
25,26,FS
28,29,FS
29,30,FS
30,31,FS
31,32,FS
30,33,FS
32,34,FS
30,35,FS
36,37,FS
41,42,FS
37,44,FS
44,45,FS
45,46,FS
44,47,FS
45,48,FS
46,49,FS
45,50,FS
46,51,FS
50,52,FS
50,53,FS
50,54,FS
54,55,FS
55,56,FS
56,57,FS
57,58,FS
58,60,FS
60,61,FS
61,62,FS
60,63,FS
61,64,FS
62,65,FS
61,66,FS
62,67,FS
66,68,FS
66,69,FS
66,70,FS
70,71,FS
71,72,FS
72,73,FS
73,74,FS
74,76,FS
76,77,FS
77,78,FS
76,79,FS
77,80,FS
78,81,FS
77,82,FS
78,83,FS
82,84,FS
82,85,FS
82,86,FS
86,87,FS
87,88,FS
88,89,FS
89,90,FS
90,92,FS
92,93,FS
93,94,FS
92,95,FS
93,96,FS
94,97,FS
93,98,FS
94,99,FS
98,100,FS
98,101,FS
98,102,FS
102,103,FS
103,104,FS
104,105,FS
105,106,FS
106,108,FS
108,109,FS
109,110,FS
108,111,FS
109,112,FS
110,113,FS
109,114,FS
110,115,FS
114,116,FS
114,117,FS
114,118,FS
118,119,FS
119,120,FS
120,121,FS
121,122,FS
122,124,FS
124,125,FS
125,126,FS
124,127,FS
125,128,FS
126,129,FS
125,130,FS
126,131,FS
130,132,FS
130,133,FS
130,134,FS
134,135,FS
135,136,FS
136,137,FS
137,138,FS
138,140,FS
140,141,FS
141,142,FS
140,143,FS
141,144,FS
142,145,FS
141,146,FS
142,147,FS
146,148,FS
146,149,FS
146,150,FS
150,151,FS
151,152,FS
152,153,FS
153,154,FS
154,156,FS
156,157,FS
157,158,FS
156,159,FS
157,160,FS
158,161,FS
157,162,FS
158,163,FS
162,164,FS
162,165,FS
162,166,FS
166,167,FS
167,168,FS
168,169,FS
169,170,FS
170,172,FS
172,173,FS
173,174,FS
172,175,FS
173,176,FS
174,177,FS
173,178,FS
174,179,FS
178,180,FS
178,181,FS
178,182,FS
182,183,FS
183,184,FS
184,185,FS
185,186,FS
186,188,FS
188,189,FS
189,190,FS
188,191,FS
189,192,FS
190,193,FS
189,194,FS
190,195,FS
194,196,FS
194,197,FS
194,198,FS
198,199,FS
199,200,FS
200,201,FS
201,202,FS
202,204,FS
204,205,FS
205,206,FS
204,207,FS
205,208,FS
206,209,FS
205,210,FS
206,211,FS
210,212,FS
210,213,FS
210,214,FS
214,215,FS
215,216,FS
216,217,FS
217,218,FS
218,220,FS
220,221,FS
221,222,FS
220,223,FS
221,224,FS
222,225,FS
221,226,FS
222,227,FS
226,228,FS
226,229,FS
226,230,FS
230,231,FS
231,232,FS
232,233,FS
233,234,FS
234,236,FS
236,237,FS
237,238,FS
236,239,FS
237,240,FS
238,241,FS
237,242,FS
238,243,FS
242,244,FS
242,245,FS
242,246,FS
246,247,FS
247,248,FS
248,249,FS
249,250,FS
250,252,FS
252,253,FS
253,254,FS
252,255,FS
253,256,FS
254,257,FS
253,258,FS
254,259,FS
258,260,FS
258,261,FS
258,262,FS
262,263,FS
263,264,FS
264,265,FS
265,266,FS
266,268,FS
268,269,FS
269,270,FS
270,271,FS
271,272,FS
265,273,FS
