source,target,type
458,459,FS
458,460,FS
458,461,FS
461,462,FS
462,463,FS
463,464,FS
463,457,FS
460,465,FS
463,466,FS
466,467,FS
460,1,FS
1,2,FS
3,4,FS
4,5,FS
5,6,FS
1,475,FS
467,476,FS
475,477,FS
476,478,FS
477,479,FS
479,480,FS
480,481,FS
481,482,FS
482,483,FS
483,484,FS
484,485,FS
485,486,FS
486,487,FS
487,488,FS
488,489,FS
489,490,FS
490,491,FS
491,492,FS
492,493,FS
493,182,FS
490,183,FS
185,184,FS
182,185,FS
478,186,FS
186,187,FS
484,189,FS
188,190,FS
190,191,FS
493,192,FS
192,193,FS
226,274,FS
227,275,FS
275,276,FS
229,277,FS
260,278,FS
278,279,FS
279,280,FS
280,281,FS
281,282,FS
233,283,FS
259,284,FS
288,285,FS
398,286,FS
266,287,FS
288,289,FS
287,290,FS
284,291,FS
291,292,FS
274,258,FS
275,259,FS
259,260,FS
189,261,FS
260,262,FS
262,263,FS
262,264,FS
259,265,FS
259,266,FS
270,267,FS
286,268,FS
266,269,FS
269,271,FS
271,272,FS
271,273,FS
183,414,FS
414,415,FS
195,194,FS
485,195,FS
195,196,FS
190,197,FS
196,198,FS
198,199,FS
198,200,FS
195,201,FS
195,202,FS
190,203,FS
202,205,FS
199,206,FS
205,207,FS
207,208,FS
208,209,FS
195,210,FS
195,211,FS
195,212,FS
191,213,FS
196,214,FS
198,215,FS
214,216,FS
195,217,FS
195,218,FS
190,219,FS
215,221,FS
199,222,FS
206,223,FS
223,224,FS
224,225,FS
194,226,FS
487,227,FS
227,228,FS
191,229,FS
228,230,FS
230,231,FS
230,232,FS
227,233,FS
227,234,FS
220,235,FS
190,236,FS
234,237,FS
206,238,FS
237,239,FS
239,240,FS
240,241,FS
210,242,FS
227,243,FS
243,244,FS
213,245,FS
228,246,FS
246,247,FS
246,248,FS
227,249,FS
227,250,FS
191,251,FS
235,252,FS
250,253,FS
222,254,FS
253,255,FS
239,256,FS
256,257,FS
226,293,FS
243,294,FS
294,295,FS
276,296,FS
295,297,FS
231,298,FS
297,299,FS
294,300,FS
294,301,FS
252,302,FS
305,303,FS
301,304,FS
238,305,FS
304,306,FS
306,307,FS
307,308,FS
242,309,FS
243,310,FS
310,311,FS
245,312,FS
295,313,FS
313,314,FS
313,315,FS
294,316,FS
294,317,FS
321,318,FS
302,319,FS
317,320,FS
254,321,FS
320,322,FS
306,323,FS
323,324,FS
293,325,FS
310,326,FS
326,327,FS
296,328,FS
327,329,FS
329,330,FS
329,331,FS
326,332,FS
326,333,FS
319,334,FS
337,335,FS
330,336,FS
305,337,FS
336,338,FS
338,339,FS
338,340,FS
309,341,FS
326,342,FS
342,343,FS
312,344,FS
327,345,FS
329,346,FS
345,347,FS
326,348,FS
326,349,FS
353,350,FS
334,351,FS
349,352,FS
321,353,FS
352,354,FS
338,355,FS
355,356,FS
325,357,FS
342,358,FS
358,359,FS
277,360,FS
359,361,FS
361,362,FS
361,363,FS
358,364,FS
358,365,FS
351,366,FS
369,367,FS
362,368,FS
288,369,FS
369,370,FS
370,371,FS
371,372,FS
341,373,FS
358,374,FS
374,375,FS
261,376,FS
359,377,FS
377,378,FS
377,379,FS
358,380,FS
358,381,FS
385,382,FS
366,383,FS
381,384,FS
270,385,FS
369,386,FS
370,387,FS
387,388,FS
192,389,FS
187,390,FS
390,391,FS
360,392,FS
391,393,FS
393,394,FS
393,395,FS
390,396,FS
390,397,FS
383,398,FS
401,399,FS
394,400,FS
369,401,FS
401,402,FS
402,403,FS
403,404,FS
404,405,FS
406,407,FS
407,408,FS
408,410,FS
408,411,FS
411,412,FS
412,413,FS
192,469,FS
470,471,FS
