source,target,type
62,63,FS
63,64,FS
64,65,FS
65,66,FS
66,67,FS
67,68,FS
68,69,FS
69,1,FS
1,2,FS
2,5,FS
6,7,FS
1,8,FS
8,9,FS
9,10,FS
10,11,FS
2,12,FS
12,13,FS
11,14,FS
14,15,FS
15,16,FS
16,17,FS
11,18,FS
15,19,FS
16,20,FS
17,21,FS
13,22,FS
19,23,FS
20,24,FS
21,25,FS
22,26,FS
23,27,FS
24,28,FS
25,29,FS
22,30,FS
23,31,FS
24,32,FS
25,33,FS
30,34,FS
31,35,FS
32,36,FS
33,37,FS
34,38,FS
35,39,FS
36,40,FS
37,41,FS
38,42,FS
39,43,FS
40,44,FS
41,45,FS
38,46,FS
39,47,FS
40,48,FS
41,49,FS
39,50,FS
47,51,FS
41,52,FS
49,53,FS
38,54,FS
39,55,FS
40,56,FS
41,57,FS
42,58,FS
43,59,FS
44,60,FS
45,61,FS
58,70,FS
70,71,FS
