source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
5,6,FS
6,7,FS
17,10,FS
9,13,FS
13,15,FS
15,17,FS
17,18,FS
18,19,FS
18,21,FS
18,22,FS
21,23,FS
23,24,FS
19,25,FS
22,27,FS
27,28,FS
28,29,FS
36,30,FS
13,32,FS
32,34,FS
23,36,FS
36,37,FS
19,38,FS
41,40,FS
22,41,FS
40,42,FS
38,44,FS
27,46,FS
46,47,FS
47,48,FS
55,49,FS
32,51,FS
51,53,FS
36,55,FS
55,56,FS
38,57,FS
60,59,FS
41,60,FS
59,61,FS
61,62,FS
44,63,FS
46,65,FS
65,66,FS
66,67,FS
74,68,FS
70,72,FS
72,74,FS
74,75,FS
75,76,FS
75,78,FS
78,79,FS
78,80,FS
80,81,FS
76,82,FS
65,84,FS
84,85,FS
85,86,FS
93,87,FS
70,89,FS
89,91,FS
91,93,FS
93,94,FS
94,95,FS
94,97,FS
79,98,FS
97,99,FS
99,100,FS
95,101,FS
84,103,FS
103,104,FS
104,105,FS
131,125,FS
172,127,FS
127,129,FS
129,131,FS
131,132,FS
132,133,FS
132,135,FS
135,136,FS
135,137,FS
137,138,FS
133,139,FS
136,141,FS
141,142,FS
142,143,FS
150,144,FS
228,146,FS
146,148,FS
148,150,FS
150,151,FS
151,152,FS
151,154,FS
152,155,FS
155,157,FS
157,158,FS
165,159,FS
241,161,FS
161,163,FS
163,165,FS
165,166,FS
166,167,FS
167,168,FS
167,170,FS
168,171,FS
168,172,FS
171,173,FS
173,175,FS
175,176,FS
285,287,FS
285,288,FS
283,289,FS
288,290,FS
189,193,FS
189,194,FS
194,196,FS
194,197,FS
197,199,FS
199,201,FS
201,202,FS
189,203,FS
201,204,FS
204,207,FS
204,208,FS
207,209,FS
202,210,FS
209,211,FS
211,213,FS
213,214,FS
214,216,FS
216,217,FS
217,218,FS
218,219,FS
218,220,FS
219,221,FS
221,224,FS
220,225,FS
230,228,FS
225,229,FS
229,230,FS
230,231,FS
158,232,FS
230,233,FS
231,234,FS
158,236,FS
236,238,FS
231,239,FS
239,241,FS
241,242,FS
242,245,FS
245,246,FS
246,247,FS
247,248,FS
248,250,FS
247,251,FS
251,253,FS
253,256,FS
256,258,FS
258,259,FS
238,261,FS
261,263,FS
263,264,FS
294,295,FS
296,301,FS
304,306,FS
307,309,FS
309,310,FS
310,311,FS
313,315,FS
315,316,FS
316,317,FS
