source,target,type
1,4,FS
1,6,FS
15,265,FS
265,266,FS
266,267,FS
15,8,FS
8,9,FS
9,10,FS
6,12,FS
12,13,FS
13,15,FS
15,18,FS
18,19,FS
19,20,FS
8,22,FS
61,24,FS
24,164,FS
24,165,FS
165,166,FS
166,167,FS
167,168,FS
168,169,FS
169,170,FS
170,171,FS
171,38,FS
38,173,FS
173,174,FS
174,40,FS
40,175,FS
175,176,FS
176,177,FS
177,179,FS
179,180,FS
180,181,FS
181,184,FS
184,185,FS
42,43,FS
45,187,FS
187,189,FS
189,190,FS
189,192,FS
187,205,FS
205,206,FS
206,207,FS
207,208,FS
208,209,FS
209,210,FS
185,42,FS
42,211,FS
42,45,FS
42,202,FS
202,212,FS
45,213,FS
45,203,FS
203,214,FS
214,215,FS
215,216,FS
216,217,FS
217,218,FS
239,56,FS
217,219,FS
238,59,FS
20,61,FS
203,66,FS
190,220,FS
192,223,FS
223,224,FS
224,225,FS
220,226,FS
225,227,FS
227,228,FS
228,229,FS
229,230,FS
230,231,FS
231,222,FS
218,232,FS
217,234,FS
234,235,FS
235,236,FS
239,238,FS
217,239,FS
227,240,FS
239,241,FS
239,242,FS
232,76,FS
236,78,FS
225,79,FS
111,90,FS
113,91,FS
112,93,FS
91,95,FS
111,96,FS
90,98,FS
111,99,FS
239,101,FS
106,103,FS
103,104,FS
101,106,FS
109,108,FS
111,109,FS
106,111,FS
106,112,FS
112,264,FS
225,113,FS
225,115,FS
111,116,FS
90,118,FS
118,120,FS
122,123,FS
123,124,FS
124,125,FS
123,126,FS
124,127,FS
127,243,FS
244,245,FS
123,246,FS
243,247,FS
247,248,FS
248,249,FS
249,250,FS
244,251,FS
250,252,FS
252,253,FS
253,254,FS
254,255,FS
255,256,FS
256,257,FS
257,258,FS
251,259,FS
255,260,FS
260,261,FS
261,262,FS
262,263,FS
187,131,FS
131,132,FS
132,133,FS
133,134,FS
134,135,FS
187,138,FS
138,139,FS
139,140,FS
187,142,FS
142,143,FS
143,144,FS
187,146,FS
146,147,FS
147,148,FS
236,150,FS
150,151,FS
239,153,FS
161,154,FS
161,155,FS
160,157,FS
160,158,FS
160,159,FS
118,160,FS
160,161,FS
