source,target,type
1,107,FS
107,2,FS
2,3,FS
3,108,FS
108,4,FS
4,5,FS
5,109,FS
109,6,FS
7,110,FS
110,8,FS
8,111,FS
111,9,FS
9,112,FS
112,10,FS
10,11,FS
11,12,FS
13,14,FS
14,113,FS
113,15,FS
15,16,FS
16,17,FS
17,18,FS
19,20,FS
20,114,FS
114,21,FS
21,115,FS
115,22,FS
22,23,FS
23,24,FS
25,116,FS
116,26,FS
26,117,FS
117,27,FS
27,28,FS
28,29,FS
29,30,FS
31,32,FS
32,33,FS
33,34,FS
34,35,FS
35,36,FS
37,118,FS
118,38,FS
38,119,FS
119,39,FS
39,40,FS
40,41,FS
41,42,FS
43,44,FS
44,45,FS
45,46,FS
46,47,FS
47,48,FS
49,120,FS
120,50,FS
50,121,FS
121,51,FS
51,122,FS
122,52,FS
52,53,FS
53,54,FS
100,101,FS
101,102,FS
102,103,FS
103,104,FS
104,105,FS
55,56,FS
56,57,FS
57,58,FS
58,59,FS
59,60,FS
61,62,FS
62,63,FS
63,64,FS
64,65,FS
65,66,FS
67,68,FS
68,69,FS
69,70,FS
70,71,FS
71,72,FS
73,123,FS
123,124,FS
124,74,FS
74,125,FS
125,75,FS
75,126,FS
126,127,FS
127,76,FS
76,77,FS
77,78,FS
79,80,FS
80,81,FS
81,82,FS
82,83,FS
83,84,FS
84,128,FS
