source,target,type
1,2,FS
1,3,FS
2,4,FS
3,5,FS
4,6,FS
3,7,FS
6,8,FS
8,9,FS
7,10,FS
10,11,FS
10,12,FS
11,14,FS
12,15,FS
13,16,FS
14,17,FS
15,18,FS
16,19,FS
19,21,FS
20,22,FS
8,24,FS
21,25,FS
22,26,FS
23,27,FS
25,28,FS
26,29,FS
27,30,FS
29,31,FS
30,32,FS
28,34,FS
32,35,FS
32,36,FS
33,37,FS
34,38,FS
31,39,FS
36,40,FS
37,41,FS
34,42,FS
39,43,FS
35,44,FS
41,45,FS
42,46,FS
44,47,FS
40,48,FS
45,49,FS
42,50,FS
48,51,FS
45,52,FS
50,53,FS
40,54,FS
53,55,FS
53,56,FS
54,57,FS
52,58,FS
56,59,FS
58,60,FS
55,61,FS
61,62,FS
59,63,FS
63,64,FS
