source,target,type
2,6,FS
3,7,FS
5,8,FS
1,9,FS
1,10,FS
7,11,FS
11,12,FS
4,13,FS
8,15,FS
14,16,FS
9,17,FS
10,18,FS
6,19,FS
12,20,FS
13,21,FS
13,22,FS
15,23,FS
18,24,FS
12,25,FS
21,26,FS
23,27,FS
17,28,FS
24,29,FS
20,30,FS
24,31,FS
17,32,FS
29,33,FS
29,34,FS
30,35,FS
26,36,FS
31,37,FS
33,38,FS
35,39,FS
36,40,FS
27,41,FS
39,42,FS
32,43,FS
38,44,FS
37,45,FS
41,46,FS
43,47,FS
40,48,FS
45,49,FS
47,50,FS
14,51,FS
49,52,FS
28,53,FS
14,54,FS
45,55,FS
50,56,FS
50,57,FS
52,58,FS
53,59,FS
52,60,FS
16,61,FS
57,62,FS
51,63,FS
56,64,FS
50,65,FS
56,66,FS
58,67,FS
55,68,FS
61,69,FS
65,70,FS
66,71,FS
67,72,FS
60,73,FS
64,74,FS
70,75,FS
68,76,FS
71,77,FS
72,78,FS
73,79,FS
69,80,FS
69,81,FS
69,82,FS
74,83,FS
76,84,FS
73,85,FS
83,87,FS
75,88,FS
84,89,FS
85,90,FS
87,91,FS
88,92,FS
89,93,FS
89,94,FS
81,95,FS
92,96,FS
94,97,FS
91,98,FS
96,99,FS
97,100,FS
54,101,FS
54,102,FS
98,103,FS
98,104,FS
98,105,FS
82,106,FS
66,107,FS
107,108,FS
108,109,FS
103,110,FS
109,111,FS
100,112,FS
101,113,FS
105,114,FS
110,115,FS
111,116,FS
112,117,FS
112,118,FS
110,119,FS
117,120,FS
113,121,FS
118,122,FS
113,123,FS
119,124,FS
116,125,FS
120,126,FS
120,127,FS
86,128,FS
125,129,FS
122,130,FS
127,131,FS
124,132,FS
129,133,FS
130,134,FS
131,135,FS
128,136,FS
132,137,FS
133,138,FS
121,139,FS
134,140,FS
137,141,FS
139,142,FS
140,143,FS
135,144,FS
136,145,FS
141,146,FS
138,147,FS
140,148,FS
144,149,FS
147,150,FS
143,151,FS
149,152,FS
146,153,FS
147,154,FS
150,155,FS
151,156,FS
152,157,FS
152,158,FS
154,159,FS
157,160,FS
157,161,FS
159,162,FS
155,163,FS
159,164,FS
160,165,FS
102,166,FS
163,167,FS
165,168,FS
167,169,FS
161,170,FS
166,171,FS
169,172,FS
170,173,FS
173,174,FS
171,175,FS
172,176,FS
174,177,FS
176,178,FS
178,179,FS
177,180,FS
179,181,FS
180,182,FS
182,183,FS
183,184,FS
