source,target,type
1,2,FS
2,3,FS
2,4,FS
4,5,FS
4,7,FS
4,8,FS
7,9,FS
9,10,FS
10,11,FS
10,12,FS
11,14,FS
14,15,FS
15,16,FS
15,17,FS
15,18,FS
15,19,FS
15,20,FS
20,21,FS
21,22,FS
19,23,FS
23,24,FS
23,25,FS
24,27,FS
87,28,FS
23,30,FS
23,31,FS
31,32,FS
14,34,FS
15,40,FS
40,41,FS
41,42,FS
42,43,FS
42,44,FS
44,45,FS
45,46,FS
46,47,FS
46,48,FS
45,49,FS
49,50,FS
49,52,FS
49,53,FS
40,55,FS
41,61,FS
61,62,FS
42,63,FS
63,64,FS
72,65,FS
65,66,FS
65,68,FS
65,69,FS
64,72,FS
64,71,FS
62,74,FS
53,80,FS
14,81,FS
81,82,FS
81,84,FS
84,85,FS
84,86,FS
86,87,FS
87,89,FS
87,90,FS
89,91,FS
91,93,FS
87,94,FS
91,95,FS
94,96,FS
93,98,FS
98,99,FS
99,100,FS
99,101,FS
99,103,FS
99,104,FS
104,105,FS
105,106,FS
106,107,FS
107,108,FS
108,109,FS
108,110,FS
110,111,FS
111,112,FS
110,113,FS
110,114,FS
113,115,FS
115,116,FS
116,117,FS
117,118,FS
118,119,FS
119,120,FS
120,121,FS
120,122,FS
99,124,FS
124,125,FS
125,126,FS
126,127,FS
126,128,FS
128,129,FS
128,130,FS
128,131,FS
131,132,FS
131,133,FS
133,134,FS
134,135,FS
135,136,FS
135,137,FS
135,138,FS
138,139,FS
139,140,FS
140,141,FS
124,143,FS
104,144,FS
134,145,FS
116,146,FS
124,148,FS
104,149,FS
134,150,FS
116,151,FS
91,153,FS
124,154,FS
104,155,FS
134,156,FS
116,157,FS
93,159,FS
159,160,FS
160,163,FS
163,164,FS
