source,target,type
8,2,FS
9,10,FS
9,11,FS
27,16,FS
27,29,FS
29,30,FS
30,31,FS
60,32,FS
30,33,FS
33,34,FS
24,35,FS
35,36,FS
26,37,FS
40,41,FS
42,43,FS
43,44,FS
43,45,FS
63,46,FS
46,47,FS
41,48,FS
45,49,FS
48,50,FS
8,54,FS
54,55,FS
55,56,FS
56,57,FS
58,59,FS
59,60,FS
60,61,FS
61,63,FS
63,64,FS
67,68,FS
69,70,FS
71,72,FS
72,73,FS
74,75,FS
78,79,FS
92,93,FS
93,94,FS
93,95,FS
92,96,FS
96,97,FS
96,98,FS
98,99,FS
99,100,FS
100,101,FS
101,102,FS
102,103,FS
101,104,FS
104,105,FS
101,106,FS
106,107,FS
102,108,FS
108,109,FS
102,110,FS
110,111,FS
111,112,FS
110,113,FS
113,114,FS
48,118,FS
118,119,FS
119,120,FS
119,121,FS
99,122,FS
61,123,FS
101,124,FS
121,125,FS
110,126,FS
126,127,FS
126,128,FS
128,129,FS
126,130,FS
130,131,FS
131,132,FS
132,133,FS
55,135,FS
145,136,FS
136,137,FS
63,138,FS
138,139,FS
139,140,FS
140,141,FS
141,142,FS
142,143,FS
140,144,FS
143,145,FS
145,146,FS
146,147,FS
147,148,FS
145,149,FS
116,152,FS
152,153,FS
155,154,FS
152,155,FS
102,156,FS
155,157,FS
158,159,FS
159,160,FS
155,161,FS
155,162,FS
162,163,FS
64,165,FS
165,166,FS
166,167,FS
167,168,FS
168,169,FS
168,170,FS
170,171,FS
171,172,FS
172,173,FS
173,174,FS
174,175,FS
175,176,FS
176,177,FS
177,178,FS
178,179,FS
179,180,FS
180,181,FS
178,182,FS
182,183,FS
181,184,FS
184,185,FS
185,186,FS
179,187,FS
179,188,FS
184,190,FS
190,191,FS
190,192,FS
192,193,FS
193,194,FS
193,195,FS
195,196,FS
195,197,FS
