source,target,type
1,2,FS
1,3,FS
3,4,FS
3,5,FS
4,6,FS
6,7,FS
6,8,FS
8,9,FS
14,15,FS
15,17,FS
17,18,FS
18,19,FS
18,20,FS
26,27,FS
25,28,FS
27,29,FS
29,30,FS
27,31,FS
29,32,FS
30,33,FS
33,35,FS
31,36,FS
29,37,FS
29,38,FS
37,39,FS
27,42,FS
42,43,FS
37,44,FS
44,45,FS
54,46,FS
46,47,FS
46,48,FS
48,49,FS
27,51,FS
51,52,FS
52,53,FS
52,54,FS
54,55,FS
54,56,FS
56,57,FS
22,59,FS
20,66,FS
59,67,FS
59,68,FS
59,69,FS
29,71,FS
71,72,FS
72,73,FS
73,74,FS
29,76,FS
76,77,FS
77,78,FS
78,79,FS
79,80,FS
54,82,FS
82,83,FS
54,84,FS
84,85,FS
85,86,FS
86,87,FS
90,91,FS
90,92,FS
92,93,FS
92,94,FS
91,95,FS
92,96,FS
93,97,FS
94,98,FS
97,99,FS
74,107,FS
107,108,FS
108,109,FS
109,110,FS
107,111,FS
108,112,FS
109,113,FS
110,114,FS
111,115,FS
110,116,FS
83,132,FS
132,133,FS
133,134,FS
134,135,FS
135,136,FS
132,137,FS
137,138,FS
133,139,FS
134,140,FS
135,141,FS
138,142,FS
142,143,FS
139,144,FS
141,145,FS
136,146,FS
161,162,FS
162,163,FS
164,165,FS
165,166,FS
136,172,FS
134,173,FS
110,174,FS
174,175,FS
175,176,FS
175,178,FS
173,179,FS
179,180,FS
182,181,FS
180,182,FS
172,183,FS
183,184,FS
183,185,FS
185,194,FS
185,195,FS
197,198,FS
197,199,FS
199,200,FS
197,201,FS
197,202,FS
202,203,FS
110,222,FS
222,223,FS
222,224,FS
201,225,FS
184,226,FS
184,227,FS
222,228,FS
225,229,FS
224,230,FS
224,231,FS
232,234,FS
233,235,FS
232,236,FS
233,237,FS
238,239,FS
239,240,FS
240,241,FS
240,242,FS
242,243,FS
201,244,FS
244,245,FS
198,246,FS
245,247,FS
228,248,FS
248,249,FS
224,250,FS
146,251,FS
99,281,FS
281,282,FS
282,283,FS
281,284,FS
281,285,FS
281,286,FS
287,288,FS
287,289,FS
289,290,FS
281,291,FS
291,292,FS
99,307,FS
307,308,FS
308,309,FS
307,310,FS
307,311,FS
307,312,FS
312,313,FS
27,315,FS
315,316,FS
316,317,FS
315,318,FS
315,319,FS
315,320,FS
321,322,FS
321,323,FS
323,324,FS
315,325,FS
325,326,FS
27,342,FS
342,343,FS
343,344,FS
342,345,FS
342,346,FS
342,347,FS
347,348,FS
326,350,FS
326,351,FS
292,352,FS
292,353,FS
292,354,FS
171,355,FS
