source,target,type
1,2,FS
1,3,FS
1,4,FS
1,5,FS
2,6,FS
2,7,FS
6,8,FS
8,14,FS
16,17,FS
17,18,FS
18,20,FS
33,23,FS
23,24,FS
31,25,FS
25,26,FS
25,27,FS
27,28,FS
26,29,FS
25,30,FS
24,31,FS
33,34,FS
34,35,FS
35,36,FS
36,37,FS
196,38,FS
39,40,FS
40,41,FS
39,42,FS
38,43,FS
41,44,FS
38,45,FS
44,46,FS
48,49,FS
49,50,FS
50,51,FS
49,52,FS
52,53,FS
53,54,FS
49,55,FS
55,56,FS
56,57,FS
57,58,FS
58,59,FS
63,60,FS
38,61,FS
48,62,FS
63,64,FS
64,65,FS
65,66,FS
47,67,FS
68,69,FS
51,70,FS
38,71,FS
69,72,FS
70,73,FS
71,74,FS
74,75,FS
70,76,FS
76,77,FS
78,79,FS
79,80,FS
68,81,FS
89,90,FS
90,91,FS
98,92,FS
92,93,FS
92,94,FS
94,95,FS
80,96,FS
96,97,FS
97,98,FS
135,99,FS
99,100,FS
100,101,FS
198,102,FS
102,103,FS
103,104,FS
104,105,FS
106,107,FS
107,108,FS
199,109,FS
109,110,FS
110,111,FS
106,112,FS
112,113,FS
113,114,FS
109,115,FS
115,116,FS
116,117,FS
112,118,FS
118,119,FS
119,120,FS
117,121,FS
121,122,FS
122,123,FS
120,124,FS
124,125,FS
125,126,FS
123,127,FS
127,128,FS
128,129,FS
124,130,FS
130,131,FS
131,132,FS
129,133,FS
133,134,FS
134,135,FS
67,136,FS
198,137,FS
136,138,FS
138,139,FS
137,140,FS
138,141,FS
139,142,FS
137,143,FS
141,144,FS
142,145,FS
143,146,FS
144,147,FS
145,148,FS
132,149,FS
149,150,FS
150,151,FS
151,152,FS
152,153,FS
153,154,FS
67,155,FS
155,156,FS
156,157,FS
158,159,FS
159,160,FS
169,172,FS
205,185,FS
78,187,FS
81,188,FS
187,189,FS
81,190,FS
25,191,FS
35,192,FS
48,193,FS
70,194,FS
48,195,FS
191,196,FS
192,197,FS
193,198,FS
188,199,FS
190,200,FS
106,201,FS
101,202,FS
93,203,FS
98,204,FS
105,205,FS
204,206,FS
201,207,FS
202,208,FS
205,209,FS
206,210,FS
206,211,FS
212,213,FS
213,214,FS
112,215,FS
196,216,FS
207,221,FS
238,239,FS
