source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
5,6,FS
6,7,FS
6,8,FS
6,9,FS
6,10,FS
6,11,FS
11,12,FS
6,13,FS
13,14,FS
14,15,FS
13,16,FS
16,17,FS
17,18,FS
18,19,FS
18,20,FS
19,21,FS
21,22,FS
22,23,FS
23,24,FS
24,25,FS
25,26,FS
26,27,FS
27,28,FS
28,29,FS
27,30,FS
27,31,FS
30,32,FS
32,33,FS
33,34,FS
34,35,FS
32,36,FS
36,37,FS
37,38,FS
38,39,FS
35,40,FS
35,41,FS
41,42,FS
25,43,FS
43,44,FS
44,45,FS
45,46,FS
45,47,FS
45,48,FS
48,49,FS
49,50,FS
50,51,FS
51,52,FS
52,53,FS
49,54,FS
54,55,FS
55,56,FS
49,57,FS
49,58,FS
58,59,FS
34,60,FS
60,61,FS
61,62,FS
62,63,FS
60,64,FS
64,65,FS
65,66,FS
66,67,FS
67,68,FS
60,69,FS
66,70,FS
70,71,FS
71,72,FS
72,73,FS
73,74,FS
68,75,FS
75,76,FS
76,77,FS
77,78,FS
78,79,FS
71,80,FS
80,81,FS
74,82,FS
82,83,FS
83,84,FS
84,85,FS
85,86,FS
86,87,FS
87,88,FS
88,89,FS
86,90,FS
90,91,FS
91,92,FS
92,93,FS
93,94,FS
79,95,FS
95,96,FS
96,97,FS
97,98,FS
98,99,FS
97,100,FS
100,101,FS
101,102,FS
102,103,FS
99,104,FS
101,105,FS
105,106,FS
106,107,FS
107,108,FS
108,109,FS
103,110,FS
110,111,FS
111,112,FS
106,113,FS
113,114,FS
109,115,FS
115,116,FS
116,117,FS
117,118,FS
118,119,FS
119,120,FS
120,121,FS
121,122,FS
119,123,FS
123,124,FS
124,125,FS
125,126,FS
126,127,FS
122,128,FS
128,129,FS
129,130,FS
130,131,FS
131,132,FS
132,133,FS
128,134,FS
131,135,FS
135,136,FS
136,137,FS
137,138,FS
138,139,FS
133,140,FS
140,141,FS
141,142,FS
136,143,FS
143,144,FS
139,145,FS
145,146,FS
146,147,FS
147,148,FS
148,149,FS
149,150,FS
150,151,FS
151,152,FS
149,153,FS
153,154,FS
154,155,FS
155,156,FS
156,157,FS
142,158,FS
158,159,FS
159,160,FS
160,161,FS
161,162,FS
162,163,FS
158,164,FS
161,165,FS
165,166,FS
166,167,FS
167,168,FS
168,169,FS
163,170,FS
170,171,FS
171,172,FS
166,173,FS
173,174,FS
169,175,FS
175,176,FS
176,177,FS
177,178,FS
178,179,FS
179,180,FS
180,181,FS
181,182,FS
179,183,FS
183,184,FS
184,185,FS
185,186,FS
186,187,FS
187,188,FS
143,189,FS
189,190,FS
190,191,FS
190,192,FS
190,193,FS
187,194,FS
194,195,FS
195,196,FS
196,197,FS
197,198,FS
198,199,FS
199,200,FS
200,201,FS
201,202,FS
200,203,FS
193,204,FS
