source,target,type
1,3,FS
2,4,FS
2,5,FS
3,7,FS
3,8,FS
3,9,FS
3,10,FS
9,11,FS
3,12,FS
7,14,FS
17,15,FS
7,17,FS
7,18,FS
46,16,FS
5,19,FS
20,24,FS
20,25,FS
25,26,FS
17,27,FS
27,28,FS
28,29,FS
24,33,FS
32,35,FS
27,36,FS
22,37,FS
32,38,FS
41,39,FS
34,40,FS
38,41,FS
32,42,FS
38,43,FS
35,44,FS
41,45,FS
45,47,FS
12,48,FS
50,49,FS
32,51,FS
50,53,FS
50,55,FS
50,56,FS
56,57,FS
50,58,FS
50,59,FS
50,60,FS
50,61,FS
50,63,FS
59,64,FS
50,65,FS
65,66,FS
65,67,FS
65,68,FS
65,69,FS
69,70,FS
68,71,FS
70,72,FS
70,73,FS
67,74,FS
67,75,FS
75,76,FS
73,77,FS
77,78,FS
82,79,FS
71,80,FS
76,82,FS
84,83,FS
82,84,FS
83,85,FS
85,86,FS
67,87,FS
85,88,FS
88,89,FS
85,90,FS
67,91,FS
88,92,FS
92,93,FS
92,95,FS
95,96,FS
96,97,FS
97,98,FS
