source,target,type
3,4,FS
4,5,FS
8,9,FS
9,10,FS
10,11,FS
11,12,FS
12,13,FS
13,14,FS
14,16,FS
16,17,FS
17,18,FS
18,19,FS
19,20,FS
20,21,FS
21,22,FS
22,23,FS
23,24,FS
24,25,FS
25,27,FS
27,28,FS
28,29,FS
29,30,FS
30,31,FS
119,32,FS
32,33,FS
33,34,FS
34,35,FS
31,37,FS
37,38,FS
35,39,FS
39,40,FS
40,41,FS
41,42,FS
42,43,FS
43,44,FS
44,45,FS
45,46,FS
46,47,FS
120,48,FS
121,49,FS
122,50,FS
94,52,FS
95,53,FS
96,54,FS
97,55,FS
98,56,FS
38,58,FS
58,59,FS
103,60,FS
60,61,FS
61,62,FS
62,63,FS
63,64,FS
64,65,FS
106,67,FS
107,68,FS
108,69,FS
109,70,FS
110,71,FS
111,72,FS
112,73,FS
113,74,FS
114,75,FS
115,76,FS
84,77,FS
87,78,FS
88,79,FS
89,80,FS
80,81,FS
59,83,FS
76,84,FS
77,85,FS
85,86,FS
86,87,FS
78,88,FS
79,89,FS
81,90,FS
90,91,FS
91,92,FS
92,93,FS
93,94,FS
52,95,FS
53,96,FS
54,97,FS
55,98,FS
56,99,FS
99,100,FS
100,101,FS
101,102,FS
102,103,FS
50,105,FS
105,106,FS
67,107,FS
68,108,FS
69,109,FS
70,110,FS
71,111,FS
72,112,FS
73,113,FS
74,114,FS
75,115,FS
83,117,FS
117,118,FS
118,119,FS
47,120,FS
48,121,FS
49,122,FS
