source,target,type
1,2,FS
1,3,FS
1,4,FS
1,5,FS
1,6,FS
1,7,FS
3,9,FS
9,10,FS
10,11,FS
5,12,FS
5,13,FS
11,14,FS
14,15,FS
15,16,FS
16,17,FS
11,18,FS
14,19,FS
13,20,FS
20,21,FS
21,22,FS
22,23,FS
11,24,FS
11,25,FS
25,26,FS
26,27,FS
27,28,FS
28,29,FS
11,30,FS
11,31,FS
31,32,FS
32,33,FS
32,34,FS
32,35,FS
32,36,FS
32,37,FS
32,38,FS
32,39,FS
33,40,FS
33,41,FS
33,42,FS
42,43,FS
42,44,FS
42,45,FS
43,46,FS
43,47,FS
43,48,FS
39,49,FS
46,50,FS
34,51,FS
51,52,FS
52,53,FS
53,54,FS
34,55,FS
54,56,FS
35,57,FS
57,58,FS
58,59,FS
59,60,FS
59,61,FS
60,62,FS
62,63,FS
63,64,FS
35,65,FS
66,67,FS
35,68,FS
67,69,FS
56,70,FS
58,71,FS
62,72,FS
63,73,FS
72,74,FS
73,75,FS
65,76,FS
69,77,FS
76,78,FS
77,79,FS
56,80,FS
78,81,FS
76,82,FS
82,83,FS
83,84,FS
84,85,FS
84,86,FS
85,87,FS
87,88,FS
88,89,FS
80,90,FS
80,91,FS
91,92,FS
92,93,FS
76,94,FS
93,95,FS
91,96,FS
96,97,FS
96,98,FS
98,99,FS
98,100,FS
99,101,FS
101,102,FS
95,103,FS
95,104,FS
104,105,FS
105,106,FS
91,107,FS
106,108,FS
108,109,FS
109,110,FS
110,111,FS
111,112,FS
112,113,FS
113,114,FS
114,115,FS
115,116,FS
116,117,FS
117,118,FS
118,119,FS
119,120,FS
120,121,FS
121,122,FS
122,123,FS
113,124,FS
123,125,FS
125,126,FS
