source,target,type
2,3,FS
2,9,FS
9,10,FS
10,11,FS
11,12,FS
14,15,FS
12,13,FS
13,14,FS
15,16,FS
15,17,FS
15,18,FS
15,19,FS
19,20,FS
20,21,FS
21,22,FS
2,23,FS
23,24,FS
24,25,FS
25,26,FS
26,27,FS
27,28,FS
28,29,FS
29,30,FS
29,31,FS
29,32,FS
29,33,FS
33,34,FS
34,35,FS
35,36,FS
2,37,FS
37,38,FS
38,39,FS
38,40,FS
38,41,FS
38,42,FS
39,44,FS
44,45,FS
44,46,FS
44,47,FS
44,48,FS
45,49,FS
49,50,FS
50,51,FS
2,52,FS
53,54,FS
53,55,FS
53,56,FS
53,57,FS
54,58,FS
58,59,FS
56,61,FS
58,62,FS
59,63,FS
63,64,FS
64,65,FS
2,66,FS
66,67,FS
68,74,FS
74,75,FS
74,76,FS
74,77,FS
74,78,FS
74,80,FS
75,81,FS
81,82,FS
82,83,FS
2,84,FS
84,85,FS
85,86,FS
86,88,FS
88,89,FS
89,91,FS
91,92,FS
92,93,FS
94,95,FS
95,97,FS
97,101,FS
96,102,FS
101,103,FS
98,104,FS
99,105,FS
103,108,FS
108,109,FS
110,111,FS
111,112,FS
111,113,FS
112,114,FS
114,115,FS
114,116,FS
115,117,FS
117,118,FS
118,119,FS
