source,target,type
1,2,FS
6,5,FS
4,6,FS
5,7,FS
9,8,FS
5,9,FS
8,10,FS
12,11,FS
9,12,FS
14,13,FS
11,14,FS
4,15,FS
15,16,FS
15,17,FS
5,18,FS
18,19,FS
18,20,FS
18,21,FS
19,22,FS
22,23,FS
23,24,FS
22,25,FS
22,26,FS
11,27,FS
27,28,FS
30,29,FS
29,31,FS
31,32,FS
27,33,FS
27,34,FS
15,35,FS
35,36,FS
15,37,FS
35,38,FS
35,39,FS
21,40,FS
40,41,FS
41,42,FS
41,43,FS
43,44,FS
44,45,FS
26,46,FS
46,47,FS
47,48,FS
47,49,FS
49,50,FS
50,51,FS
34,52,FS
52,53,FS
52,54,FS
54,55,FS
55,56,FS
39,57,FS
57,58,FS
43,59,FS
59,60,FS
60,61,FS
45,62,FS
62,63,FS
63,64,FS
63,65,FS
65,66,FS
66,67,FS
51,68,FS
68,69,FS
56,70,FS
56,71,FS
70,72,FS
72,73,FS
72,74,FS
51,75,FS
67,76,FS
84,77,FS
85,78,FS
86,79,FS
87,80,FS
67,81,FS
69,82,FS
74,83,FS
45,84,FS
51,85,FS
56,86,FS
61,87,FS
77,88,FS
78,89,FS
79,90,FS
80,91,FS
79,92,FS
92,93,FS
93,94,FS
93,95,FS
95,96,FS
96,97,FS
20,98,FS
98,99,FS
97,100,FS
