source,target,type
18,19,FS
19,20,FS
21,23,FS
22,24,FS
24,25,FS
24,26,FS
24,27,FS
24,28,FS
24,29,FS
24,30,FS
25,31,FS
25,32,FS
31,33,FS
33,34,FS
34,35,FS
35,36,FS
36,37,FS
37,38,FS
38,39,FS
47,40,FS
40,41,FS
41,42,FS
36,43,FS
43,44,FS
41,45,FS
44,46,FS
46,47,FS
47,48,FS
41,52,FS
47,49,FS
49,53,FS
53,55,FS
55,56,FS
56,57,FS
47,58,FS
58,59,FS
59,60,FS
60,61,FS
61,62,FS
62,63,FS
58,64,FS
64,65,FS
65,66,FS
66,5,FS
5,71,FS
71,70,FS
70,69,FS
69,68,FS
68,67,FS
58,72,FS
58,75,FS
58,74,FS
67,1,FS
1,77,FS
77,78,FS
78,79,FS
79,80,FS
58,81,FS
58,82,FS
58,83,FS
42,84,FS
42,87,FS
58,85,FS
58,88,FS
85,89,FS
89,90,FS
90,91,FS
91,92,FS
92,93,FS
93,94,FS
94,95,FS
95,96,FS
96,97,FS
97,98,FS
98,99,FS
99,100,FS
100,101,FS
101,102,FS
102,103,FS
103,104,FS
104,105,FS
105,106,FS
106,107,FS
