successor_task_id,predecessor_task_id,dependency_type,lag_months,lag_weeks,lag_days,lag_hours
C2018-09_1.1.1.2,C2018-09_1.1.1.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.3,C2018-09_1.1.1.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.4,C2018-09_1.1.1.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.5,C2018-09_1.1.1.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.6,C2018-09_1.1.1.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.7,C2018-09_1.1.1.4,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.7,C2018-09_1.1.1.5,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.7,C2018-09_1.1.1.6,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.8,C2018-09_1.1.1.7,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.9,C2018-09_1.1.1.8,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.2.1,C2018-09_1.1.1.9,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.2.2,C2018-09_1.1.2.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.2.3,C2018-09_1.1.2.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.3.1,C2018-09_1.1.2.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.2.4,C2018-09_1.1.2.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.4.1,C2018-09_1.1.2.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.6.1,C2018-09_1.1.2.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.2.5,C2018-09_1.1.2.4,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.5.1,C2018-09_1.1.2.5,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.3.2,C2018-09_1.1.3.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.3.3,C2018-09_1.1.3.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.3.4,C2018-09_1.1.3.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.3.5,C2018-09_1.1.3.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.1,C2018-09_1.1.3.4,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.1,C2018-09_1.1.3.5,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.5.2,C2018-09_1.1.5.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.5,C2018-09_1.1.5.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.5.3,C2018-09_1.1.5.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.5.4,C2018-09_1.1.5.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.5.5,C2018-09_1.1.5.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.2,C2018-09_1.1.5.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.5.6,C2018-09_1.1.5.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.3,C2018-09_1.1.5.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.6.1,C2018-09_1.1.5.4,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.4,C2018-09_1.1.5.4,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.6.1,C2018-09_1.1.5.5,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.4,C2018-09_1.1.5.5,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.6.1,C2018-09_1.1.5.6,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.7.1,C2018-09_1.1.6.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.9.6,C2018-09_1.1.6.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.7.2,C2018-09_1.1.7.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.8.1,C2018-09_1.1.7.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.10.1,C2018-09_1.1.9.1,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.10.1,C2018-09_1.1.9.2,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.10.1,C2018-09_1.1.9.3,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.10.1,C2018-09_1.1.9.4,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.10.1,C2018-09_1.1.9.5,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.10.1,C2018-09_1.1.9.6,FS,0.0,0.0,0.0,0.0
C2018-09_1.1.1.1,,,0.0,0.0,0.0,0.0
