task_id,task_name,baseline_start,g1_labor,g1_material,g1_subcontract,g1_fuel,g1_qa_qc,g2_training,g2_space,g2_communication,g2_utility,g4_insurance,g4_license,g4_warranty,g5_complexity,g5_weather,g5_contingency,g5_rework,g6_storage,g6_int_transport,g6_handling,g6_recovery,g7_dur_months,g7_dur_weeks,g7_dur_days,g7_dur_hours,g7_ot_hours
3,"1. Analysis of car usage in general, link to car sharing, environment, cost of parking",2019-01-01 08:00:00,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,10.0,0.0,0.0
4,2. Type of cars,2019-01-15 08:00:00,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,6.0,0.0,0.0
5,3. Determine amount of ars needed and parking place,2019-01-23 08:00:00,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,6.0,0.0,0.0
6,4. Research for charging stations (suppliers),2019-01-31 08:00:00,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0
7,5. Research use of exsisting charging stations,2019-01-31 08:00:00,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
8,6. Research for traffic sign supplier (Trafiroad),2019-01-31 08:00:00,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
9,7. Research amount of staff needed (extra contractors),2019-02-04 08:00:00,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0.0
10,8. Feasibility study,2019-02-07 08:00:00,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,7.0,0.0,0.0
11,"9. Search for funding (VC, Business angels, bankloan)",2019-02-18 08:00:00,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0
13,10. Contact city to get the approval,2019-03-06 08:00:00,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,20.0,0.0,0.0
