source,target,type
2,3,FS
3,4,FS
4,5,FS
5,6,FS
1,7,FS
7,8,FS
5,9,FS
5,10,FS
10,11,FS
6,12,FS
12,13,FS
13,14,FS
14,15,FS
15,16,FS
16,17,FS
17,18,FS
18,19,FS
19,20,FS
20,21,FS
21,22,FS
22,23,FS
23,24,FS
24,25,FS
25,26,FS
26,27,FS
27,28,FS
28,29,FS
28,30,FS
30,31,FS
31,32,FS
32,33,FS
33,34,FS
34,35,FS
35,36,FS
34,37,FS
37,38,FS
38,39,FS
39,40,FS
40,41,FS
33,42,FS
41,43,FS
43,44,FS
44,45,FS
45,46,FS
45,47,FS
46,48,FS
46,49,FS
36,50,FS
48,51,FS
48,52,FS
48,53,FS
51,54,FS
54,55,FS
55,56,FS
54,57,FS
52,58,FS
46,59,FS
59,60,FS
60,61,FS
60,62,FS
62,63,FS
61,64,FS
64,65,FS
65,66,FS
65,67,FS
56,68,FS
66,69,FS
66,70,FS
66,71,FS
66,72,FS
52,73,FS
29,74,FS
68,75,FS
66,76,FS
68,77,FS
75,78,FS
50,79,FS
74,80,FS
78,81,FS
79,82,FS
80,83,FS
83,84,FS
83,85,FS
42,86,FS
