predecessor_id,successor_id,dependency_type,lag_hours
C2019-16_1,C2019-16_2,FS,0.0
C2019-16_1,C2019-16_3,FS,0.0
C2019-16_1,C2019-16_4,FS,0.0
C2019-16_4,C2019-16_5,FS,0.0
C2019-16_5,C2019-16_6,FS,0.0
C2019-16_4,C2019-16_6,FS,0.0
C2019-16_6,C2019-16_7,FS,0.0
C2019-16_5,C2019-16_7,FS,0.0
C2019-16_7,C2019-16_30,FS,0.0
C2019-16_2,C2019-16_30,FS,0.0
C2019-16_3,C2019-16_30,FS,0.0
C2019-16_30,C2019-16_8,FS,0.0
C2019-16_8,C2019-16_9,FS,0.0
C2019-16_8,C2019-16_10,FS,0.0
C2019-16_10,C2019-16_11,FS,0.0
C2019-16_10,C2019-16_12,FS,0.0
C2019-16_11,C2019-16_13,FS,0.0
C2019-16_12,C2019-16_13,FS,0.0
C2019-16_9,C2019-16_14,FS,0.0
C2019-16_10,C2019-16_14,FS,0.0
C2019-16_13,C2019-16_15,FS,0.0
C2019-16_14,C2019-16_15,FS,0.0
C2019-16_15,C2019-16_16,FS,0.0
C2019-16_15,C2019-16_17,FS,0.0
C2019-16_15,C2019-16_18,FS,0.0
C2019-16_16,C2019-16_31,FS,0.0
C2019-16_17,C2019-16_31,FS,0.0
C2019-16_18,C2019-16_31,FS,0.0
C2019-16_31,C2019-16_19,FS,0.0
C2019-16_19,C2019-16_20,FS,0.0
C2019-16_20,C2019-16_21,FS,0.0
C2019-16_21,C2019-16_22,FS,0.0
C2019-16_21,C2019-16_23,FS,0.0
C2019-16_23,C2019-16_24,FS,0.0
C2019-16_21,C2019-16_25,FS,0.0
C2019-16_21,C2019-16_26,FS,0.0
C2019-16_22,C2019-16_32,FS,0.0
C2019-16_24,C2019-16_32,FS,0.0
C2019-16_25,C2019-16_32,FS,0.0
C2019-16_26,C2019-16_32,FS,0.0
C2019-16_32,C2019-16_27,FS,0.0
C2019-16_27,C2019-16_28,FS,0.0
C2019-16_28,C2019-16_29,FS,0.0
