source,target,type
6,4,FS
7,6,FS
730,7,FS
10,11,FS
10,16,FS
16,17,FS
17,19,FS
19,20,FS
20,22,FS
98,23,FS
20,25,FS
25,26,FS
26,28,FS
28,29,FS
31,32,FS
32,33,FS
33,34,FS
32,35,FS
35,36,FS
58,38,FS
58,39,FS
10,41,FS
49,50,FS
50,54,FS
54,56,FS
33,65,FS
65,66,FS
66,67,FS
67,68,FS
66,69,FS
69,70,FS
70,71,FS
73,74,FS
75,76,FS
76,77,FS
75,78,FS
74,80,FS
86,87,FS
85,88,FS
77,89,FS
88,90,FS
90,91,FS
91,92,FS
92,93,FS
93,94,FS
96,97,FS
36,100,FS
100,101,FS
101,102,FS
102,103,FS
103,104,FS
103,105,FS
105,106,FS
105,107,FS
106,108,FS
105,109,FS
109,111,FS
111,113,FS
113,114,FS
115,116,FS
116,117,FS
114,118,FS
117,119,FS
117,120,FS
120,121,FS
88,122,FS
120,123,FS
90,124,FS
124,125,FS
125,126,FS
126,129,FS
129,130,FS
129,131,FS
131,132,FS
132,133,FS
133,134,FS
133,135,FS
137,138,FS
138,139,FS
139,140,FS
134,141,FS
131,142,FS
146,147,FS
144,149,FS
54,151,FS
56,153,FS
142,155,FS
155,156,FS
167,157,FS
156,158,FS
158,159,FS
159,160,FS
156,161,FS
158,162,FS
162,163,FS
158,164,FS
161,165,FS
165,166,FS
167,168,FS
175,176,FS
183,184,FS
189,186,FS
186,187,FS
184,189,FS
189,191,FS
199,200,FS
200,201,FS
245,213,FS
219,218,FS
267,219,FS
219,220,FS
220,221,FS
222,223,FS
223,224,FS
224,225,FS
225,226,FS
226,227,FS
227,228,FS
227,229,FS
228,230,FS
230,231,FS
232,233,FS
233,234,FS
235,237,FS
237,238,FS
238,239,FS
205,241,FS
56,250,FS
255,256,FS
65,258,FS
33,260,FS
260,261,FS
261,263,FS
263,264,FS
264,265,FS
258,267,FS
320,268,FS
264,269,FS
270,271,FS
270,272,FS
272,273,FS
272,274,FS
273,275,FS
275,276,FS
276,277,FS
275,278,FS
279,281,FS
282,283,FS
281,285,FS
286,287,FS
287,288,FS
283,289,FS
