source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
5,6,FS
6,7,FS
7,8,FS
2,9,FS
9,10,FS
10,11,FS
11,12,FS
12,13,FS
13,14,FS
2,15,FS
15,16,FS
16,17,FS
17,18,FS
18,19,FS
19,20,FS
2,21,FS
21,22,FS
22,23,FS
23,24,FS
24,25,FS
25,26,FS
2,27,FS
27,28,FS
28,29,FS
2,30,FS
30,31,FS
2,32,FS
32,33,FS
33,34,FS
2,35,FS
35,36,FS
36,37,FS
2,38,FS
2,39,FS
39,40,FS
40,41,FS
2,42,FS
42,43,FS
43,44,FS
44,45,FS
2,46,FS
46,47,FS
47,48,FS
2,49,FS
49,50,FS
50,51,FS
2,52,FS
52,53,FS
53,54,FS
2,55,FS
55,56,FS
56,57,FS
2,58,FS
58,59,FS
59,60,FS
2,61,FS
61,62,FS
62,63,FS
63,64,FS
64,65,FS
65,66,FS
66,67,FS
63,68,FS
68,69,FS
69,70,FS
70,71,FS
2,72,FS
72,73,FS
73,74,FS
2,75,FS
75,76,FS
76,77,FS
77,78,FS
78,79,FS
79,80,FS
2,81,FS
81,82,FS
2,83,FS
83,84,FS
84,85,FS
2,86,FS
86,87,FS
87,88,FS
2,89,FS
89,90,FS
90,91,FS
2,92,FS
92,93,FS
93,94,FS
94,95,FS
95,96,FS
2,97,FS
97,98,FS
98,99,FS
2,100,FS
100,101,FS
101,102,FS
2,103,FS
103,104,FS
104,105,FS
2,106,FS
106,107,FS
107,108,FS
2,109,FS
109,110,FS
110,111,FS
2,112,FS
112,113,FS
113,114,FS
2,115,FS
115,116,FS
116,117,FS
2,118,FS
118,119,FS
119,120,FS
2,121,FS
121,122,FS
122,123,FS
2,124,FS
124,125,FS
125,126,FS
2,127,FS
127,128,FS
128,129,FS
2,130,FS
130,131,FS
131,132,FS
63,133,FS
133,134,FS
134,135,FS
63,136,FS
136,137,FS
137,138,FS
2,139,FS
2,140,FS
139,141,FS
141,142,FS
2,143,FS
2,144,FS
143,145,FS
2,146,FS
2,147,FS
146,148,FS
2,149,FS
2,150,FS
2,151,FS
2,152,FS
2,153,FS
2,154,FS
154,155,FS
63,156,FS
2,157,FS
157,158,FS
2,159,FS
159,160,FS
2,161,FS
161,162,FS
8,163,FS
82,164,FS
14,165,FS
26,166,FS
67,167,FS
163,168,FS
14,169,FS
26,170,FS
8,171,FS
20,172,FS
82,173,FS
66,174,FS
2,175,FS
2,176,FS
2,177,FS
2,178,FS
2,179,FS
149,180,FS
155,181,FS
152,182,FS
156,183,FS
20,184,FS
184,185,FS
185,186,FS
186,187,FS
