source,target,type
1,2,FS
2,3,FS
3,4,FS
4,5,FS
5,6,FS
6,7,FS
7,8,FS
2,9,FS
9,10,FS
10,11,FS
11,12,FS
12,13,FS
13,14,FS
2,15,FS
15,16,FS
16,17,FS
17,18,FS
18,19,FS
19,20,FS
2,21,FS
21,22,FS
22,23,FS
23,24,FS
24,25,FS
25,26,FS
2,27,FS
27,28,FS
28,29,FS
2,30,FS
30,31,FS
2,32,FS
32,33,FS
33,34,FS
2,35,FS
35,36,FS
36,37,FS
2,38,FS
2,39,FS
39,40,FS
40,41,FS
2,42,FS
42,43,FS
43,44,FS
44,45,FS
2,46,FS
46,47,FS
47,48,FS
2,49,FS
49,50,FS
50,51,FS
2,52,FS
52,53,FS
53,54,FS
2,55,FS
55,56,FS
56,57,FS
2,58,FS
58,59,FS
59,60,FS
2,61,FS
61,62,FS
62,63,FS
63,64,FS
64,65,FS
65,66,FS
2,67,FS
67,68,FS
2,69,FS
69,70,FS
70,71,FS
2,72,FS
72,73,FS
73,74,FS
2,75,FS
75,76,FS
76,77,FS
2,78,FS
78,79,FS
79,80,FS
80,81,FS
81,82,FS
2,83,FS
83,84,FS
84,85,FS
2,86,FS
86,87,FS
87,88,FS
2,89,FS
89,90,FS
90,91,FS
2,92,FS
92,93,FS
93,94,FS
2,95,FS
95,96,FS
96,97,FS
2,98,FS
98,99,FS
99,100,FS
2,101,FS
101,102,FS
102,103,FS
2,104,FS
104,105,FS
105,106,FS
2,107,FS
107,108,FS
108,109,FS
2,110,FS
110,111,FS
111,112,FS
2,113,FS
113,114,FS
114,115,FS
2,116,FS
116,117,FS
117,118,FS
2,119,FS
2,120,FS
119,121,FS
121,122,FS
2,123,FS
2,124,FS
123,125,FS
2,126,FS
2,127,FS
2,128,FS
2,129,FS
2,130,FS
2,131,FS
131,132,FS
2,133,FS
133,134,FS
2,135,FS
135,136,FS
2,137,FS
137,138,FS
8,139,FS
68,140,FS
14,141,FS
26,142,FS
139,143,FS
14,144,FS
26,145,FS
8,146,FS
20,147,FS
68,148,FS
2,149,FS
2,150,FS
2,151,FS
126,152,FS
132,153,FS
129,154,FS
20,155,FS
155,156,FS
156,157,FS
157,158,FS
