source,target,type
3,5,FS
3,6,FS
5,7,FS
3,9,FS
3,10,FS
3,11,FS
3,12,FS
5,13,FS
5,14,FS
5,15,FS
5,16,FS
5,17,FS
5,18,FS
5,19,FS
5,20,FS
16,22,FS
22,23,FS
29,32,FS
32,33,FS
33,34,FS
26,36,FS
36,37,FS
36,38,FS
38,39,FS
5,40,FS
23,42,FS
23,43,FS
42,44,FS
42,45,FS
42,46,FS
42,47,FS
46,48,FS
44,53,FS
53,54,FS
53,55,FS
54,60,FS
60,61,FS
61,62,FS
50,64,FS
64,65,FS
6,66,FS
61,68,FS
61,70,FS
33,73,FS
36,75,FS
65,76,FS
76,77,FS
76,79,FS
76,80,FS
76,81,FS
76,82,FS
80,83,FS
83,84,FS
84,86,FS
84,87,FS
84,88,FS
88,89,FS
84,91,FS
71,92,FS
84,94,FS
84,95,FS
84,96,FS
96,97,FS
84,99,FS
84,100,FS
97,102,FS
102,103,FS
102,104,FS
104,105,FS
105,107,FS
105,108,FS
107,109,FS
