source,target,type
41,2,FS
2,4,FS
4,6,FS
4,8,FS
4,9,FS
4,10,FS
69,12,FS
12,13,FS
13,14,FS
14,15,FS
15,16,FS
16,17,FS
17,18,FS
18,19,FS
19,20,FS
37,22,FS
22,23,FS
23,24,FS
24,25,FS
20,27,FS
27,29,FS
28,30,FS
29,31,FS
30,32,FS
32,34,FS
34,35,FS
35,36,FS
36,37,FS
25,39,FS
39,40,FS
40,41,FS
6,43,FS
43,44,FS
44,45,FS
45,46,FS
46,47,FS
47,48,FS
48,50,FS
50,51,FS
51,52,FS
52,53,FS
53,54,FS
54,55,FS
55,56,FS
56,57,FS
57,58,FS
58,59,FS
59,60,FS
60,61,FS
63,64,FS
64,65,FS
65,66,FS
66,67,FS
67,68,FS
68,69,FS
34,71,FS
71,72,FS
72,73,FS
73,74,FS
74,75,FS
75,76,FS
