source,target,type
9,3,FS
3,4,FS
9,5,FS
9,6,FS
6,7,FS
7,8,FS
9,10,FS
9,11,FS
9,12,FS
9,13,FS
13,14,FS
9,15,FS
9,16,FS
10,17,FS
16,18,FS
18,19,FS
10,20,FS
20,21,FS
21,22,FS
22,23,FS
21,24,FS
15,25,FS
24,26,FS
26,27,FS
29,30,FS
30,31,FS
31,32,FS
26,33,FS
33,34,FS
34,35,FS
34,38,FS
38,39,FS
39,40,FS
40,41,FS
40,42,FS
41,43,FS
43,44,FS
44,45,FS
45,46,FS
44,47,FS
44,48,FS
48,49,FS
13,50,FS
50,51,FS
48,52,FS
52,53,FS
53,54,FS
53,56,FS
55,57,FS
55,58,FS
58,59,FS
25,61,FS
62,63,FS
63,64,FS
59,68,FS
68,69,FS
69,70,FS
69,71,FS
69,73,FS
73,74,FS
74,75,FS
75,76,FS
76,77,FS
77,78,FS
68,81,FS
68,82,FS
68,83,FS
68,84,FS
73,85,FS
59,88,FS
88,89,FS
89,90,FS
82,93,FS
67,95,FS
67,96,FS
96,97,FS
97,98,FS
97,99,FS
97,100,FS
100,94,FS
100,101,FS
100,102,FS
102,103,FS
103,104,FS
104,105,FS
105,106,FS
106,107,FS
107,108,FS
105,109,FS
106,113,FS
113,114,FS
114,115,FS
114,116,FS
115,117,FS
115,118,FS
115,119,FS
115,120,FS
119,121,FS
121,122,FS
122,123,FS
122,124,FS
122,125,FS
123,126,FS
46,130,FS
130,131,FS
130,132,FS
132,133,FS
134,135,FS
135,136,FS
136,137,FS
242,140,FS
242,141,FS
141,142,FS
142,143,FS
143,144,FS
144,145,FS
145,146,FS
146,147,FS
145,149,FS
149,150,FS
150,152,FS
150,153,FS
153,154,FS
154,155,FS
155,156,FS
154,157,FS
155,158,FS
158,159,FS
159,160,FS
160,161,FS
161,162,FS
162,163,FS
163,164,FS
164,165,FS
157,170,FS
170,169,FS
170,171,FS
157,173,FS
173,174,FS
174,175,FS
175,176,FS
175,177,FS
177,178,FS
178,179,FS
178,180,FS
178,184,FS
184,183,FS
184,185,FS
185,187,FS
187,188,FS
188,189,FS
189,190,FS
190,191,FS
191,192,FS
114,195,FS
196,197,FS
245,198,FS
201,202,FS
202,203,FS
122,204,FS
203,205,FS
261,212,FS
261,213,FS
211,218,FS
267,219,FS
176,220,FS
213,221,FS
201,225,FS
226,227,FS
38,230,FS
39,231,FS
40,232,FS
42,233,FS
45,234,FS
46,235,FS
60,236,FS
119,238,FS
238,239,FS
239,240,FS
240,241,FS
141,243,FS
141,244,FS
243,245,FS
203,246,FS
248,249,FS
249,250,FS
250,251,FS
251,252,FS
251,254,FS
