source,target,type
106,107,FS
108,109,FS
109,110,FS
112,113,FS
114,115,FS
116,117,FS
117,118,FS
118,119,FS
120,121,FS
121,122,FS
122,123,FS
124,125,FS
125,126,FS
126,127,FS
128,129,FS
129,130,FS
130,131,FS
119,133,FS
123,134,FS
123,135,FS
118,138,FS
131,139,FS
122,140,FS
132,141,FS
132,142,FS
132,144,FS
146,147,FS
147,148,FS
150,151,FS
151,152,FS
151,153,FS
153,154,FS
155,156,FS
156,157,FS
157,158,FS
148,159,FS
159,160,FS
152,163,FS
164,165,FS
149,166,FS
132,167,FS
132,168,FS
152,170,FS
170,171,FS
171,172,FS
149,173,FS
149,174,FS
149,175,FS
165,176,FS
166,177,FS
195,178,FS
176,180,FS
177,181,FS
181,182,FS
168,183,FS
183,184,FS
165,189,FS
175,190,FS
181,191,FS
189,192,FS
192,193,FS
193,195,FS
195,196,FS
196,197,FS
135,199,FS
199,200,FS
200,201,FS
199,202,FS
200,203,FS
203,204,FS
201,205,FS
204,206,FS
166,207,FS
207,208,FS
208,209,FS
206,211,FS
196,212,FS
214,215,FS
215,216,FS
218,219,FS
219,220,FS
219,221,FS
221,222,FS
223,224,FS
224,225,FS
225,226,FS
216,227,FS
227,228,FS
220,231,FS
220,233,FS
217,234,FS
303,235,FS
235,236,FS
220,238,FS
238,239,FS
239,240,FS
217,241,FS
217,242,FS
217,243,FS
233,244,FS
234,245,FS
263,246,FS
244,248,FS
245,249,FS
249,250,FS
235,251,FS
251,252,FS
233,254,FS
240,257,FS
249,259,FS
254,260,FS
260,261,FS
261,263,FS
252,264,FS
264,265,FS
135,267,FS
267,268,FS
268,269,FS
267,270,FS
268,271,FS
271,272,FS
269,273,FS
272,274,FS
234,275,FS
263,276,FS
276,277,FS
274,279,FS
264,280,FS
282,283,FS
283,284,FS
106,285,FS
282,286,FS
286,287,FS
287,288,FS
287,289,FS
289,290,FS
282,291,FS
291,292,FS
292,293,FS
293,294,FS
284,295,FS
295,296,FS
288,299,FS
299,301,FS
217,302,FS
167,303,FS
303,304,FS
113,306,FS
306,307,FS
307,308,FS
285,309,FS
285,310,FS
285,311,FS
301,312,FS
302,313,FS
319,314,FS
333,315,FS
312,317,FS
313,318,FS
318,319,FS
303,320,FS
320,321,FS
301,323,FS
302,324,FS
308,326,FS
324,327,FS
323,330,FS
330,331,FS
331,333,FS
333,334,FS
334,335,FS
135,337,FS
337,338,FS
338,339,FS
337,340,FS
338,341,FS
341,342,FS
339,343,FS
342,344,FS
302,345,FS
345,346,FS
344,348,FS
334,349,FS
350,351,FS
301,354,FS
235,355,FS
355,356,FS
354,358,FS
373,359,FS
358,361,FS
355,362,FS
362,363,FS
354,366,FS
361,367,FS
366,368,FS
335,370,FS
370,371,FS
371,373,FS
363,374,FS
374,375,FS
270,377,FS
377,378,FS
378,379,FS
377,380,FS
378,381,FS
381,382,FS
379,383,FS
382,384,FS
373,385,FS
385,386,FS
384,388,FS
374,389,FS
390,391,FS
