source,target,type
4,5,FS
5,6,FS
5,7,FS
6,8,FS
8,9,FS
9,10,FS
10,11,FS
13,14,FS
14,15,FS
17,18,FS
18,21,FS
21,22,FS
22,23,FS
23,24,FS
23,25,FS
24,26,FS
26,27,FS
27,28,FS
28,29,FS
31,32,FS
32,33,FS
36,37,FS
37,38,FS
37,39,FS
38,40,FS
40,41,FS
41,42,FS
42,43,FS
45,46,FS
46,47,FS
50,51,FS
51,52,FS
51,53,FS
52,54,FS
54,55,FS
55,56,FS
56,57,FS
59,60,FS
60,61,FS
64,65,FS
65,66,FS
65,67,FS
66,68,FS
68,69,FS
69,70,FS
70,71,FS
73,74,FS
74,75,FS
78,79,FS
79,80,FS
79,81,FS
80,82,FS
82,83,FS
83,84,FS
84,85,FS
87,88,FS
88,89,FS
88,89,FS
