source,target,type
3,4,FS
4,5,FS
5,6,FS
6,7,FS
6,9,FS
9,10,FS
10,12,FS
12,13,FS
13,14,FS
14,15,FS
15,16,FS
16,17,FS
17,18,FS
18,21,FS
21,23,FS
26,25,FS
23,26,FS
29,28,FS
35,29,FS
28,30,FS
34,33,FS
25,34,FS
33,35,FS
39,37,FS
28,38,FS
38,39,FS
37,42,FS
42,43,FS
54,45,FS
45,46,FS
46,47,FS
42,49,FS
49,50,FS
50,51,FS
51,53,FS
53,54,FS
21,56,FS
56,57,FS
57,58,FS
58,60,FS
54,61,FS
3,63,FS
63,64,FS
49,67,FS
67,68,FS
68,70,FS
70,71,FS
71,72,FS
72,73,FS
72,75,FS
71,77,FS
77,78,FS
78,79,FS
79,80,FS
80,81,FS
81,82,FS
82,84,FS
84,86,FS
68,87,FS
84,88,FS
87,89,FS
3,91,FS
91,92,FS
92,93,FS
93,94,FS
94,95,FS
