source,target,type
2,3,FS
3,5,FS
5,7,FS
7,9,FS
9,10,FS
10,11,FS
11,13,FS
13,14,FS
14,15,FS
15,17,FS
17,20,FS
20,21,FS
21,22,FS
22,24,FS
24,26,FS
26,29,FS
29,30,FS
30,31,FS
31,32,FS
32,33,FS
33,35,FS
35,36,FS
36,38,FS
38,39,FS
39,41,FS
41,43,FS
43,45,FS
45,46,FS
46,47,FS
47,49,FS
49,50,FS
50,51,FS
51,53,FS
53,55,FS
55,56,FS
56,57,FS
57,58,FS
62,61,FS
58,62,FS
65,64,FS
61,65,FS
64,66,FS
69,68,FS
66,69,FS
68,70,FS
73,72,FS
70,73,FS
72,74,FS
77,76,FS
74,77,FS
76,78,FS
81,80,FS
78,81,FS
80,82,FS
82,84,FS
84,86,FS
86,87,FS
87,88,FS
88,89,FS
89,91,FS
91,94,FS
94,95,FS
95,97,FS
97,98,FS
98,99,FS
99,100,FS
100,101,FS
101,102,FS
102,104,FS
104,107,FS
107,109,FS
109,110,FS
110,111,FS
111,114,FS
114,115,FS
115,118,FS
118,120,FS
120,123,FS
123,124,FS
124,126,FS
126,127,FS
127,129,FS
115,132,FS
129,133,FS
133,134,FS
134,135,FS
135,136,FS
136,138,FS
138,139,FS
139,141,FS
91,144,FS
144,146,FS
146,147,FS
147,148,FS
148,149,FS
149,151,FS
151,153,FS
153,154,FS
154,156,FS
156,157,FS
157,159,FS
159,160,FS
160,161,FS
161,162,FS
162,164,FS
164,166,FS
166,167,FS
167,168,FS
168,170,FS
170,172,FS
91,175,FS
175,176,FS
176,177,FS
177,178,FS
178,179,FS
179,182,FS
182,183,FS
183,184,FS
184,185,FS
185,186,FS
186,187,FS
187,189,FS
189,191,FS
191,192,FS
192,193,FS
193,194,FS
194,196,FS
196,197,FS
197,198,FS
198,199,FS
199,200,FS
200,201,FS
201,203,FS
203,206,FS
206,207,FS
207,208,FS
208,209,FS
209,210,FS
210,211,FS
211,214,FS
214,215,FS
215,216,FS
216,217,FS
217,218,FS
218,221,FS
221,222,FS
222,223,FS
