source,target,type
3,5,FS
4,7,FS
7,8,FS
8,9,FS
4,10,FS
10,11,FS
11,12,FS
170,15,FS
15,16,FS
16,17,FS
17,18,FS
18,20,FS
20,21,FS
21,22,FS
22,23,FS
23,24,FS
20,25,FS
20,27,FS
27,28,FS
27,29,FS
20,31,FS
31,32,FS
34,33,FS
31,34,FS
32,35,FS
35,36,FS
36,37,FS
27,39,FS
39,40,FS
40,41,FS
41,42,FS
31,44,FS
44,45,FS
48,46,FS
46,47,FS
45,48,FS
46,49,FS
49,50,FS
34,52,FS
52,53,FS
52,54,FS
54,55,FS
54,56,FS
56,57,FS
44,59,FS
45,60,FS
46,61,FS
48,62,FS
49,63,FS
27,65,FS
46,66,FS
66,67,FS
65,68,FS
68,69,FS
77,73,FS
73,74,FS
73,75,FS
81,77,FS
77,78,FS
8,80,FS
80,81,FS
75,84,FS
84,86,FS
86,88,FS
88,90,FS
90,91,FS
91,92,FS
92,93,FS
88,95,FS
95,96,FS
96,98,FS
98,99,FS
99,100,FS
100,101,FS
101,102,FS
102,103,FS
103,104,FS
104,105,FS
107,106,FS
105,107,FS
106,109,FS
109,110,FS
106,113,FS
113,114,FS
114,115,FS
114,117,FS
114,118,FS
114,119,FS
114,120,FS
120,122,FS
74,125,FS
128,126,FS
125,127,FS
125,128,FS
128,130,FS
130,131,FS
128,133,FS
127,136,FS
136,138,FS
138,140,FS
146,141,FS
146,142,FS
147,144,FS
138,146,FS
146,147,FS
147,148,FS
148,149,FS
149,150,FS
150,151,FS
151,152,FS
152,153,FS
138,156,FS
160,157,FS
156,158,FS
157,159,FS
158,160,FS
159,162,FS
162,163,FS
151,165,FS
165,166,FS
166,167,FS
167,168,FS
168,169,FS
168,170,FS
169,171,FS
169,172,FS
27,174,FS
3,176,FS
3,177,FS
3,178,FS
3,179,FS
3,180,FS
3,181,FS
3,184,FS
3,185,FS
3,186,FS
3,188,FS
3,189,FS
3,191,FS
3,192,FS
3,194,FS
3,196,FS
3,197,FS
3,198,FS
3,200,FS
3,201,FS
3,203,FS
