source,target,type
3,4,FS
4,5,FS
4,7,FS
7,8,FS
8,9,FS
9,10,FS
10,11,FS
17,13,FS
13,14,FS
14,15,FS
15,16,FS
11,17,FS
16,19,FS
19,20,FS
20,21,FS
21,23,FS
23,24,FS
24,25,FS
25,26,FS
26,27,FS
27,28,FS
21,31,FS
31,33,FS
33,34,FS
34,35,FS
35,36,FS
36,38,FS
38,39,FS
39,40,FS
40,41,FS
41,42,FS
42,43,FS
31,46,FS
46,48,FS
48,49,FS
49,50,FS
50,51,FS
51,52,FS
52,53,FS
53,54,FS
28,56,FS
56,57,FS
26,59,FS
59,60,FS
60,61,FS
61,62,FS
7,65,FS
65,68,FS
68,69,FS
71,72,FS
72,73,FS
57,75,FS
7,76,FS
33,77,FS
77,78,FS
24,79,FS
