source,target,type
6,4,FS
6,5,FS
6,8,FS
4,10,FS
10,14,FS
14,15,FS
15,16,FS
35,18,FS
18,20,FS
20,21,FS
14,23,FS
25,24,FS
16,25,FS
32,28,FS
23,29,FS
28,31,FS
33,32,FS
37,33,FS
36,35,FS
31,36,FS
29,37,FS
40,39,FS
41,40,FS
35,41,FS
39,42,FS
40,43,FS
41,44,FS
48,47,FS
35,48,FS
47,50,FS
50,51,FS
51,52,FS
52,53,FS
52,54,FS
50,55,FS
54,56,FS
63,57,FS
54,59,FS
59,61,FS
61,62,FS
62,63,FS
63,64,FS
57,65,FS
65,67,FS
65,69,FS
69,70,FS
70,71,FS
73,72,FS
71,73,FS
72,74,FS
74,75,FS
75,76,FS
72,77,FS
86,79,FS
111,81,FS
43,84,FS
84,85,FS
24,86,FS
47,88,FS
84,89,FS
89,90,FS
67,93,FS
93,94,FS
94,95,FS
94,96,FS
102,99,FS
103,100,FS
93,102,FS
102,103,FS
102,104,FS
99,106,FS
100,107,FS
111,109,FS
106,111,FS
