source,target,type
4,5,FS
4,6,FS
6,7,FS
4,8,FS
5,10,FS
139,11,FS
4,12,FS
4,13,FS
7,15,FS
7,16,FS
15,17,FS
15,18,FS
17,19,FS
15,20,FS
15,21,FS
16,23,FS
15,24,FS
24,25,FS
25,26,FS
93,28,FS
28,29,FS
29,30,FS
29,31,FS
35,34,FS
15,35,FS
38,37,FS
24,38,FS
37,39,FS
42,41,FS
34,42,FS
41,43,FS
46,45,FS
42,46,FS
45,47,FS
50,49,FS
58,50,FS
49,51,FS
54,53,FS
58,54,FS
53,55,FS
43,58,FS
58,60,FS
60,61,FS
60,62,FS
60,63,FS
60,64,FS
67,66,FS
55,67,FS
55,68,FS
19,70,FS
60,72,FS
60,73,FS
90,75,FS
75,77,FS
55,78,FS
78,79,FS
78,80,FS
78,81,FS
78,82,FS
88,83,FS
83,84,FS
83,85,FS
55,86,FS
55,87,FS
78,88,FS
58,90,FS
101,91,FS
60,93,FS
100,94,FS
61,95,FS
61,96,FS
61,97,FS
61,98,FS
66,99,FS
73,100,FS
100,101,FS
88,102,FS
85,103,FS
55,106,FS
58,107,FS
58,108,FS
58,109,FS
58,111,FS
58,112,FS
58,113,FS
58,114,FS
58,115,FS
58,117,FS
58,118,FS
58,119,FS
58,120,FS
58,121,FS
58,124,FS
58,126,FS
58,127,FS
58,129,FS
58,130,FS
66,132,FS
66,133,FS
109,134,FS
4,136,FS
34,137,FS
140,138,FS
4,139,FS
31,140,FS
140,142,FS
140,143,FS
